Question,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,,,,,,,,
How can I write a strong resume?,Can we go over my resume?,What is the best way to write a resume?,How can I improve my resume?,Can you help me set up my resume? ,How should I create my resume for the job in my career?,How do I develop a resume?,How can I improve my resume?,How can I write a good resume?,What are some tips for writing a strong resume?,,,,,,,,,,,,,,,,,,,,,
When should I start looking for jobs?,Is it best to wait until I graduate to look for a job?,When should I start job searching?,When should I begin looking for jobs?,When is a good time for finding jobs?,When is a good time to start your job search?,How do you time your job search?,How soon should I start looking for jobs?,,,,,,,,,,,,,,,,,,,,,,,
How should I look for jobs?,How to apply for jobs?,How do I find jobs that fit me?,How can I find a job after my educational process?,Where can I begin looking for a job?,Where can I find jobs to apply for?,Where can I find job openings?,What are good job search strategies?,What steps should I follow to find jobs?,What does a job hunting process look like?,How do I start looking for jobs when I graduate from college?,,,,,,,,,,,,,,,,,,,,
What advice do you have for job searching?,What advice can you give for those job searching?,Any advice for people who are job searching?,Can you give me advice for job searching?,What should I consider when searching for job?,Can you give me tips on job searching?,Do you have any recommendations for job hunting?,What are some good things to do on the job market?,How can I improve my job search?,,,,,,,,,,,,,,,,,,,,,,
What advice do you have for job interviews?,What are the right things to bring up in an interview?,How can I prepare for the job interview?,What advice can you give for job interviews?,How can I stand out in job interviews?,What tips do you have for job interviews?,How can I make myself stand out during job interviews?,how can I make a good impression during job interviews?,What are some good things to do during job interviews?,What are good ways to prepare for job interviews?,How do I nail my job interview?,,,,,,,,,,,,,,,,,,,,
How do I choose my career path?,What do I do if I'm questioning my career path?,I am in between two career paths that I want to take. What do you recommend me to do to make my mind up on which path to take? ,Which aspects should I look for when choosing my career path?,What is a good way to choose my career path?,What are some things I can do when I have trouble choosing my career path?,How can I decide on which career to pursue?,How do I choose a career?,,,,,,,,,,,,,,,,,,,,,,,
How do I know that I'm on the right track or career path?,How do I know that the major I chose is the right thing for me? ,How will I know if I chose the right job?,Do you think this field suits me?,How do I know if this job is a good fit for me?,Is this the right path for me?,Am I on the right path?,"if not, what is the ""right"" path?",How do I know what is the right job for me in this field?,Am I on track for my goals?,Am I making the right decisions?,Am I on the right track?,How would someone know if that is the career that they want to follow through in the future?,How do I know if this is the right path for me?,How can I ensure that my career path is the right one for me? ,How will I know what path to pick if I have not tried certain paths?,Is this the right life choice for me,,,,,,,,,,,,,,
Can you give me some study tips?,What environment would be best for me to study in?,How can I get an A in this class?,I need some study tips.,What is the best way to study?,What can I study to better my test grades?,How do i study?,Where should I study?,What are some ways that I can study efficiently? ,What are some good study tips for this class?,How do you study for an exam?,Can you provide study techniques?,How can I learn easier?,How can I learn faster?,How to take a good notes in class?,What are your best study habits?,How can I easily digest the content given to me?,What were some of the study techniques that you used to help you in classes?,How do you recommend studying for the class?,What's the most effective study method?,What are better and more effective ways to study?,How can i prepare for a final test?,What are some good studying tips for psychology tests?,What are the best ways to study for psychology?,How would you suggest I take notes for psychology? ,What are better study habits?,What are better ways to study ?,,,,
"Do you have any advice on balancing work, home life, and school?",Do you have advice for balancing multiple responsibilities?,Do you have advice for managing different responsibilities?,How can I balance different aspects of my life from school to personal?,What are some ways to balance work and home life?,"How to balance academic, work, and social life?",Do you have any advice on balancing work and school?,How can I manage my time when working?,How can I stay focused while also working full time?,What's the best way to balance work and school?,,,,,,,,,,,,,,,,,,,,,
How can I develop a positive relationship with my professor?,How can I create positive relationships with my professors?,Is it possible to build a strong relationship with my professor outside of class?,How do you establish rapport with a professor?,How can I get to know a professor better?,What are some ways I could develop good relationships with professors?,,,,,,,,,,,,,,,,,,,,,,,,,
How do I stay motivated?,What should I do when I've lost motivation?,How do I regain my motivation?,How can a student not feel like giving up when there is so much stress around them?,How can I stay motivated? ,What can I do to keep myself motivated when I am feeling down?,Where can I find motivation to keep going when I feel like giving up?,How can I always stay motivated to achieve my end goal?,,,,,,,,,,,,,,,,,,,,,,,
How can I find scholarships to apply for?,What scholarships should I apply for?,How can I find scholarships that I am eligible for?,Where can I find the available scholarships?,What databases can I use to find scholarships?,Do you know of any scholarships I can apply for?,,,,,,,,,,,,,,,,,,,,,,,,,
How should I choose my major?,How do I know what major to choose? ,How should I pick my major?,What criteria should I use when choosing my major?,Which aspects should I look into when choosing my major?,What's a good way to choose your major?,What considerations should I take into account when choosing my major?,,,,,,,,,,,,,,,,,,,,,,,,
How do you make friends in college?,How do you make more college friends? ,How do I find the right friends?,How do I make friends as a commuter?,How do you keep relationships and friendships during school and outside of school?,How do you make friends in class and maintain those friendships?,What are good ways to make friends in college?,Do you have recommendations for how I could make friends?,I have trouble making friends.,What is a good way to look for new friends in college?,Where can I develop friendships?,Where can I meet new friends in college?,,,,,,,,,,,,,,,,,,,
How can I prevent burnout?,How do I keep from burning out?,How do you not burn out from all the responsibilities you have?,How do I stop myself from pushing myself too hard?,How do I know I am experiencing burnout and what can I do to prevent it?,What can students do when they feel emotionally and mentally drowned from so much school work?,I'm burned out,What can I do to cope with burnout?,How should I get through being burnt out,I'm feeling burned out. What can I do?,Can you help me with burnout?,What is your advice for dealing with burnout?,,,,,,,,,,,,,,,,,,,
What is the best way to approach a professor?,How should I introduce myself to a professor?,What is the best way to approach a professor for help during their office hours?,Is there a proper way to communicate or address your professors?,How can I talk to my professors?,What do you recommend that I do if I want to talk to a professor?,What's a good way to approach a professor?,,,,,,,,,,,,,,,,,,,,,,,,
What do you recommend that I avoid doing?,Are there things you recommend I should not do?,"If you were me, what would you avoid doing?","When it comes to college or my career, what should I avoid doing to prevent setbacks?",What are some no-no's?,What pitfalls should I avoid?,What are some things I need to avoid doing?,What mistakes should I avoid?,,,,,,,,,,,,,,,,,,,,,,,
How do I get involved more?,What are some opportunities I can be a part of?,How do I become more involved on or off campus?,What are some things I can do for the community that relates to my major?,Do you have any recommendations for events or meetings that I should attend? ,How can I get more involved?,Are there any ways I can help my community while pursuing my career?,How can someone become more involved with their environment? ,What are some ways to get involved in the campus community?,,,,,,,,,,,,,,,,,,,,,,
How can I improve my grades?,Can you help me raise my grades?,How can I raise my GPA by a few points?,How can I earn better grades?,What can I do to improve my grades?,Tips for improving my grades?,How can I do better in my classes?,,,,,,,,,,,,,,,,,,,,,,,,
How do I get better at writing in APA format?,What is APA format?,How do you write an effective paper in APA format?,Is there an online resource I could use to help me with APA formatting?,Does the writing center or career center offer tips in APA formatting?,How can I get better at APA Format?,Where can I learn more about the APA format?,What resources are there to help me with APA format?,,,,,,,,,,,,,,,,,,,,,,,
I need help understanding my TDA. Who can help me with that?,I'm a transfer student and I need help understand my TDA. Can you help me with that?,Can you explain my TDA to me?,What is a TDA?,Who can help me with understanding my TDA?,Do I need to talk to a counselor about my TDA?,Can you help me understand my TDA?,How do you read your TDA?,,,,,,,,,,,,,,,,,,,,,,,
What should I be asking during my advising session?,What questions should I be asking during my advising session?,What questions should I prepare for advising sessions?,How can I best prepare for my advising appointment?,What are some good questions to ask of a psychology advisor?,What kinds of questions can my advisor answer?,How can the psychology advisor help me?,What kinds of information can the advising session provide?,What should I bring to my advising appointment?,,,,,,,,,,,,,,,,,,,,,,
How can I graduate in four years?,Can I graduate in four years?,What can I do to ensure that I graduate within four years?,Do I have to increase my workload in order to graduate on time?,How do I stay on track for graduation?,How many courses do I need to take each semester in order to graduate in four years?,Is it possible to graduate in four years with a psychology major?,How hard is it to graduate in four years?,Is graduating in four years realistic?,Do you need a lot of AP classes in order to graduate in four years?,How many units should I take in order to graduate in four years?,Who can help me graduate in four years?,,,,,,,,,,,,,,,,,,,
How can I become a teaching assistant or TA?,"If I want to become a TA, what do I have to do and who do I go to?",How do I become a TA?,What are some ways for me to best prepare to be a TA?,Who can I talk to if I want to be a TA?,How can I sign up to be a TA or a UCA?,What are some qualifications for becoming a TA?,What do I need to do in order to become a teaching assistant?,Can I become a teaching assistant?,How do you become a TA or a UCA?,Can you ask professors if you could be a teaching assistant for them?,,,,,,,,,,,,,,,,,,,,
How important are extracurriculars in helping you get a job or go to graduate school?,Are extracurriculars important when getting a job or getting into graduate school?,Are extracurriculars important for your future success?,What is your opinion on extracurriculars?,Can extracurriculars provide you additional experience for jobs or graduate school?,Are extracurriculars necessary?,Are extracurriculars helpful or important?,What is the role of extracurriculars in helping you get into grad school or find a job?,Do you have to have extracurriculars in order to be competitive?,How many extracurriculars do successful applicants have?,How can extracurriculars help you get into grad school?,How can extracurriculars help you get a job?,Do extracurriculars help?,,,,,,,,,,,,,,,,,,
How can I make myself competitive for jobs?,What do you recommend to raise my chances of employment?,How could I advertise myself to be more desirable by employers?,What can I do to boost my chances of getting a job?,What can I do to make myself more competitive for future jobs?,What kinds of qualifications make a person competitive for a job?,What are the best things to do to increase my chances of getting a job?,How do I make myself a competitive candidate for jobs?,How do I do well on the job market?,How can I be successful on the job market?,What kinds of experiences should I have in order to be a competitive job candidate?,How do I compete for jobs?,,,,,,,,,,,,,,,,,,,
How can I make myself competitive for graduate school?,What are some ways to make my profile stand out for graduate school?,What would make me competitive for grad school?,How can I ensure that I'm competitive for graduate school?,How do I become a competitive applicant for grad school?,How can I put together a competitive application for grad school?,What would make me a good candidate for grad school?,What kinds of experiences should I have on my CV in order to be a good applicant for grad school?,,,,,,,,,,,,,,,,,,,,,,,
What should you do when you don't get along with your mentor?,What do I do if I do not get along with my mentor?,How should I deal with not getting along with my mentor?,What can I do to improve my relationship with my mentor?,What should I do if I am having trouble with my mentor?,Should I replace my mentor if I don't like them?,Should I ask to switch mentors?,What if I don't like my mentor's advice?,What if I don't like my mentor?,What can I do if I have conflicts with my mentor?,Should I find a new mentor if I don't get along with my current one?,,,,,,,,,,,,,,,,,,,,
What lab(s) should I take?,What labs am I supposed to take?,What labs should I join?,What labs should I take part in?,"If I want to pursue a certain concentration, which lab(s) should I take?",What are good labs to take?,What lab courses do you recommend?,Which lab courses are best?,Who teaches the best labs?,How should I choose my lab classes?,What is the best lab course?,Which lab courses are the most useful?,Which labs are the most advantageous?,,,,,,,,,,,,,,,,,,
What is a thesis?,Can you tell me more about the thesis?,Do I have to do a thesis?,What does a thesis include?,How do I write a thesis?,Is a thesis required?,Would you recommend that I write a thesis?,Is thesis just a long paper?,Is a thesis worth it?,,,,,,,,,,,,,,,,,,,,,,
What is a minor?,What are minors?,Are minors required?,What do you have to do for a minor?,How does a minor help complement our studies?,Can you tell me more about minors,,,,,,,,,,,,,,,,,,,,,,,,,
How many minors can you have?,How many minors are you allowed to have?,How many minors is the maximum amount?,Is there such a thing as too many minors?,Can you have two minors?,Can you have three minors?,How many minors should I have?,What is the optimal number of minors to have?,Is it better to get more minors?,,,,,,,,,,,,,,,,,,,,,,
How do you memorize medications and the effect on neurotransmitters?,How do you memorize different medications and their effects?,What is the easiest way to memorize different medications and the effects they have?,How do you effectively study and memorize important parts of pharmacology?,Is there a way to categorize different types of medicine and their effects on neurotransmitters?,What's the best way to study medications and their effects?,Study tips for psychopharmacology?,Best ways to memorize psychopharmacology,What are good strategies for memorizing effects of medications on neurotransmitters?,,,,,,,,,,,,,,,,,,,,,,
How do you memorize all the parts of the brain and their function?,How do you memorize the parts of the brain and their responsibilities?,Can you help me with brain biology?,How do you memorize all the parts of the brain and the things they control?,Do you have any tips on how to memorize major parts of the brain and their function?,Best ways to memorize brain parts,Can you give me study tips for how to study brain parts or functions?,What are good ways to memorize different parts of the brain?,,,,,,,,,,,,,,,,,,,,,,,
How hard is it to find a teaching job in Psychology?,Is it difficult to get a teaching job in psychology?,How difficult is finding a teaching job in Psychology?,What is the job outlook like for teaching opportunities in psychology?,How competitive is it to get a teaching job in Psychology?,Is it easy to get a teaching job?,Are there a lot of openings for psychology teachers?,,,,,,,,,,,,,,,,,,,,,,,,
What are the different types of professors?,Are there different types of professors?,What different types of professors are there?,What's the difference between a professor and an adjunct professor?,can you explain the different titles for professors?,How many different kinds of professors are there?,What do different titles mean for professors?,What does assistant or associate or full professor mean?,What are the different ranks of professors?,What types of positions are there for professors?,,,,,,,,,,,,,,,,,,,,,
How accomplished do you feel?,Did you accomplish all your goals?,Do you feel accomplished?,Do you feel as if you have accomplished your goals?,Are you proud of your accomplishments?,What makes you feel accomplished at the end of the day?,To what extent do you feel like you have achieved a lot?,How proud are you of your achievements?,How much do you feel like you have accomplished what you wanted to do?,Would you say you are accomplished?,Do you feel successful?,Are you successful?,,,,,,,,,,,,,,,,,,,
What is your biggest accomplishment?,What accomplishment are you most proud of?,What do you think is your biggest accomplishment?,What is your most memorable accomplishment?,Which experience or achievement do you think was your biggest success in the field or in your life?,,,,,,,,,,,,,,,,,,,,,,,,,,
What was your worst experience in this field?,What was your worst experience in the field?,What was the most horrible experience you have had in this field?,Did you have any experiences where you felt it left a negative impact on you?,What was the worst experience you've had in psychology?,What would you say was the rock bottom in your career?,What has been the most negative or unpleasant experience you have had in this field?,,,,,,,,,,,,,,,,,,,,,,,,
What was the hardest experience in this field?,What is the hardest part of being in the psychology field?,Have you had a specific experience that was especially difficult in the field?,What was the most difficult experience you've had while working in the field?,Can you describe one of the toughest situations you've ever been in?,What was the hardest experience you have had in psychology?,What was the most challenging experience you have had in this field?,,,,,,,,,,,,,,,,,,,,,,,,
How do you deal with writer's block?,How do you get through writer's block?,How do you handle creative block?,Do you have any advice on how to combat creative block?,What should I do if I am having trouble with writing or other creative measures? ,Tips on writer's block?,Do you ever experience writer's block?,What are some good ways to deal with a writer's block?,How do you get past a writer's block?,What are some tricks to get past a writer's block?,,,,,,,,,,,,,,,,,,,,,
How do you deal with anxiety or nervousness?,How do you cope with anxiety?,How do you manage your anxiety?,What do you do when you are nervous?,Do you ever feel nervous or anxious?,Have you had times when you've had to control your anxiety or nerves?,What makes you nervous or anxious?,Do you suffer from anxiety?,Does anything make you fearful or afraid?,Would you consider yourself an anxious person?,,,,,,,,,,,,,,,,,,,,,
Have you had any experience with mental illness?,Have you ever had a mental illness?,Have you had previous experience with mental illness?,Have you experienced any mental health problems?,Have you had previous experience with mental illness in family or friends?,Do you know anyone with mental health problems?,How close have you been to mental illness?,Have you had personal experience with mental illness?,Have you had close individuals with mental health problems?,Have you been personally close to someone with mental illness?,Have you personally known people with mental illness?,,,,,,,,,,,,,,,,,,,,
What gives you a sense of purpose?,What do you think gives you a sense of purpose?,How did you find your sense of purpose?,What is your sense of purpose?,Is there something that gives you a sense of purpose?,What gives you a sense of worth?,What is your purpose?,,,,,,,,,,,,,,,,,,,,,,,,
Where do you find inspiration?,Where do you find inspiration to meet your goals?,Why are you inspired?,Where does your inspiration come from?,What inspires you?,How are you inspired?,Where does your inspiration come from?,How do you get inspired?,What gives you inspiration?,,,,,,,,,,,,,,,,,,,,,,
What is the most rewarding thing about being a teacher?,What is the most fulfilling thing about being a teacher?,What is rewarding about being a teacher?,What do you think is the most rewarding thing about being a teacher?,What is the most rewarding moment you've had being a teacher?,,,,,,,,,,,,,,,,,,,,,,,,,,
Who gave you the best advice about your career?,"Who was your ""go to person"" regarding your career?",Who was your best career counselor?,What is the best advice you received?,What is the best piece of advice that you've received?,Who gave you the best guidance on your career?,Whose advice did you find the most valuable?,,,,,,,,,,,,,,,,,,,,,,,,
How diverse is the field of Psychology?,Is Psychology a diverse field?,Are the students in Psychology diverse?,Is the field of Psychology committed to supporting or increasing its diversity?,Is the field of Psychology a multicultural environment?,Tell me about diversity in psychology.,Would you say Psychology is a diverse field?,,,,,,,,,,,,,,,,,,,,,,,,
Are LGBTQ issues studied in this field?,Does Psychology study LGBTQ issues?,Are LGBTQ issues something that Psychology studies?,Does Psychology have an area that studies LGBTQ issues?,Are there studies about LGBTQ issues?,How big is the literature on LGBTQ issues?,Are there scholars that study LGBTQ issues from a psychological perspective?,Is there a subfield that focuses on LGBTQ psychology?,Is gender or sexuality studied in psychology?,,,,,,,,,,,,,,,,,,,,,,
Are racial relations studied in this field?,Does Psychology study racial relations?,Are racial relations something that Psychology studies?,Does Psychology have an area that studies racial relations?,Are there studies about racial relations?,How is racism addressed in psychology?,Is psychology anti-racist or racist?,Can you understand racism using psychological principles?,Does psychology play a role in racism?,Are there cross-cultural studies?,Can psychology help explain racial relations or tensions?,Can psychology help improve racial relations?,Is race studied in psychology?,Can you learn about racial issues in psychology?,,,,,,,,,,,,,,,,,
"How welcoming, affirming, or supportive is this field of LGBTQ students?",How supportive is this field of LGBTQ students?,Does this field welcome LGBTQ students?,How welcoming is this field of incoming LGBTQ students?,Is the field of Psychology committed to supporting LGBTQ students?,Is Psychology friendly towards LGBTQ students?,Do LGBTQ students succeed in psychology?,Do LGBTQ students find it welcoming in psychology?,Are professors understanding or supportive of LGBTQ students?,Do LGBTQ students feel welcome in psychology?,Do LGBTQ students feel harassed in psychology?,,,,,,,,,,,,,,,,,,,,
What are you doing to support Black students?,Is there anything happening to support Black students?,Is anything going on that supports Black students?,How can Black students feel more supported?,What are you doing to make Black students feel included?,How is the department supporting black students?,What are you doing to be anti-racist?,Are you anti-racist?,Are you fighting anti-Black racism?,How are you showing support for Black students?,In what ways do you encourage Black students?,How do you recruit and retain Black students in psychology?,How do you support Black students?,Do you mentor Black students?,,,,,,,,,,,,,,,,,
What are you doing to support minority students?,Is there anything happening to support minority students?,Is anything going on that supports minority students?,How can minority students feel more supported?,What are you doing to make minority students feel included?,How are you supporting minority students?,Do you mentor minority students?,What is the Department doing to support or encourage minority students?,,,,,,,,,,,,,,,,,,,,,,,
Do Black Lives Matter?,How do you feel about BLM?,Is BLM a helpful cause?,Do you have anything feelings about BLM?,What is your opinion on BLM?,Where do you stand on BLM?,Do you support the BLM movement?,,,,,,,,,,,,,,,,,,,,,,,,
Why are there so few minority professors / professors of color?,Why are there not many professors of color?,Why are there fewer amounts of minority professors?,Why are there less professors of color?,Is there a reason for the lack of minority professors?,Why is there no Black professor?,Why are there so few Latinx or Hispanic professors?,Why do we lack professors of color?,Where are professors of color?,,,,,,,,,,,,,,,,,,,,,,
What is the socioeconomic demographic of the psychology field?,Can you describe the socioeconomic demographic of the Psychology field?,What does the socioeconomic demographic of the Psychology field look like?,Are there certain socioeconomic demographic factors that are more common or prevalent in the field of psychology?,Can you describe the demographic makeup in psychology?,What is the demographic characteristics of students and faculty in psychology?,,,,,,,,,,,,,,,,,,,,,,,,,
How conservative is your campus?,How conservative is your school?,How conservative is your college?,Is your campus conservative?,Does your campus lean liberal or conservative?,Are conservatives welcome at your school?,Would you consider your campus fairly conservative?,What is the political leaning of your campus?,,,,,,,,,,,,,,,,,,,,,,,
How conservative is the field of Psychology?,How conservative is Psychology as a whole?,Is the field of Psychology conservative?,Do you feel like the field of Psychology is conservative?,Does the field of Psychology have any political bias?,Is Psychology liberal or conservative?,,,,,,,,,,,,,,,,,,,,,,,,,
How do I stand up for people facing discrimination?,How can I stand up for those facing discrimination?,How do you stand up for people facing discrimination?,How can I help people who are facing discrimination?,What would you do in order to help people facing discrimination?,How can I become more anti-racist?,How can I help fight racism?,How can I help people who are targets of racism?,How can i support individuals who have faced discrimination?,,,,,,,,,,,,,,,,,,,,,,
What should I do if I feel discriminated against by others?,What should I do if I feel discriminated against by my peers?,Is there a solution to discrimination from others?,How do I deal with discrimination from others?,Are there any resources for those facing discrimination from others?,What can I do if I feel discriminated against?,How do I address discrimination against me?,,,,,,,,,,,,,,,,,,,,,,,,
What should I do if I feel discriminated against by a professor?,What should I do if I feel discriminated against by a teacher?,Is there a solution to discrimination from a professor?,How do I deal with discrimination from a professor?,Are there any resources for those facing discrimination from a professor?,Can professors discriminate against you?,"If I feel that a professor is discriminating against me, what can I do?",,,,,,,,,,,,,,,,,,,,,,,,
Are psychological studies required to ensure representation of minority participants?,Do psychological studies help the representation of minority participants?,Is the representation of minority participants ensured in psychological studies?,Have there been psychological studies done to aid the representation of minority participants?,Are Psychological studies required to a diverse demographic?,Do you have to ensure representation of minority participants in psychological studies?,Do you have to provide a representative sample that includes minority participants?,How many minority participants do you have to include in studies?,What proportion of your research subjects need to be minority participants?,,,,,,,,,,,,,,,,,,,,,,
What’s your favorite book of all time? Why?,Have you read anything that made a difference in your life?,What's your favorite read?,Do you have a favorite book?,Is there a book that changed your life?,Is there a book that you love?,Do you have any favorite book recommendations?,What book can you not live without?,What is your best read?,,,,,,,,,,,,,,,,,,,,,,
What’s your favorite movie of all time? Why?,What is one movie that you love?,Do you have a favorite movie?,What do you think is the best movie?,What movie do you enjoy the most?,What movie would you recommend watching?,Best movie?,Movie you can't live without?,,,,,,,,,,,,,,,,,,,,,,,
What person do you most admire and why?,Who is really cool to you?,Whom do you admire?,Which person do you admire and why?,Who do you find the most admirable?,Who do you find the most amazing?,,,,,,,,,,,,,,,,,,,,,,,,,
What is one thing you cannot live without?,Is there anything you can not live without?,What is a basic necessity in your life?,Is there something you can not live without?,What is something that you absolutely need in your life?,What can you not live without?,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have any pets?,Did you ever own an animal?,Were you responsible for a pet?,Did your parents allow you to have a pet?,Have you ever had a pet?,Do you like animals?,Do you have a cat?,Do you have a dog?,Do you like pets?,Do you like cats?,Did you raise any animals?,,,,,,,,,,,,,,,,,,,,
Do you have a nickname?,Do you have a name your close friends call you?,Do you have any variations of your name?,Does your family call you a different name?,Do you have a nickname that you go by?,What's your nickname or moniker?,Do you go by a different name?,,,,,,,,,,,,,,,,,,,,,,,,
"If you could try out any job for a day, what would it be?","If you could change jobs for a day, what would it be?",Is there any job that you would want to have for a day?,Have you ever had a dream job you've always wanted to try?,What job do you see yourself doing if you had the chance to work there for a day?,"If you could swap jobs for a day, what would you do?",What job would you love to try out?,,,,,,,,,,,,,,,,,,,,,,,,
Tell me a funny story.,Make me laugh,What tickles you?,Tell me something funny.,Narrate a funny story.,Did something ever funny happen to you?,Tell me a story.,Do you know any funny stories?,,,,,,,,,,,,,,,,,,,,,,,
What's it like to be a psychologist?,How do I become a child psychologist?,How do I become a clinical psychologist?,Where can I work as a psychologist?,What do I need to know before becoming a psychologist?,Is being a psychologist hard?,What is the most satisfying part of being a psychologist?,What makes you a good candidate for want to be a psychologist?,What types of psychologist are out there?,Why did you become a psychologist?,What did you do to get your counseling hours?,Where are some places I can meet other psychologists?,Is it difficult to maintain a job as a psychologist?,How to stay up to date with mental disorders?,What made you decide to become a psychologist?,How can I improve as a psychologist?,,,,,,,,,,,,,,,
Does this major require a lot of emotional regulation?,Is emotional regulation required for this major?,How important is emotional regulation for this major?,Can this major be emotionally draining and require self-regulation?,Do you have to be emotionally stable in order to work in this field?,How emotionally stable do you have to be?,,,,,,,,,,,,,,,,,,,,,,,,,
Should I switch majors?,Should i continue on my major course?,What should I ask myself if I am thinking about switching majors?,How do you know when you should switch majors?,Should I switch my major over to ...?,,,,,,,,,,,,,,,,,,,,,,,,,,
What is normal or abnormal?,What is the difference between normal and abnormal?,How do you define normal and abnormal?,What is abnormal and normal in your eyes?,How do we define something that is normal or abnormal?,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you care about me?,Do you genuinely care about me?,Do you really care about me?,Do you care about me as a person?,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you get into medical school?,What is getting into medical school like?,How does a person get into medical school?,What does getting into medical school require?,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you become a therapist?,What does it take to become a therapist?,What does being a therapist require?,How does someone become a therapist?,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you become a .... [insert different career],What does it take to become a [different career]?,What does being a [different career] require?,How does someone become a [different career]?,,,,,,,,,,,,,,,,,,,,,,,,,,,
Am I in the right field?,How do I know I am in the right field?,Is this the right field for me?,What would be the right field for me?,Am I in the right field for me?,,,,,,,,,,,,,,,,,,,,,,,,,,
What's wrong with me?,Do you know what is wrong with me?,How do I find out what is wrong with me?,Why do I think something is wrong with me?,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is life?,Can you define life?,What do you think life is?,Does anyone know what life is?,How would you define life?,What is the definition of life?,When does life begin?,,,,,,,,,,,,,,,,,,,,,,,,
What is happiness?,Can you define happiness?,What do you think happiness is?,Does anyone know what happiness is?,How would you evaluate happiness?,What is the definition of happiness?,,,,,,,,,,,,,,,,,,,,,,,,,
How can I deal with my anxiety?,How do I handle my anxiety?,What are some strategies to deal with anxiety?,How can I cope with my anxiety?,How can I manage my stress more efficiently?,What should I do if I am feeling really anxious?,What can I do to help my anxiety?,How do you deal with anxiety and/or nervousness?,Is there any tips to control exam anxiety? ,How can I be less anxious?,Do you have any tips for managing my anxiety?,,,,,,,,,,,,,,,,,,,,
[Someone uses a swear word while speaking],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[Someone swears, standalone]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
