Question,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
How much free time do you have in your career?,How much time does your career allow you to have at home?,Does your work allow you free time?,How often do you have time to yourself in your career?,Do I have time to have a personal life and have a career?,Does your work allow adequate free time?,Do you have any free time in the Navy?,Are you busy in the Navy?,How busy is your job?,,,,,,,,,,,,,,,,,,
How ethnically diverse is this career field?,What are the ethnics of your field?,What are the racial percentages of this field?,Is your career ethnically diverse?,Does this career field contain people from all ethnicities?,How much diversity does this field have?,,,,,,,,,,,,,,,,,,,,,
Why are there fewer minorities in STEM?,Why is STEM less diverse?,Why do fewer races go into STEM?,Why isn't the STEM field ethnically diverse?,How come there is less racial diversity in STEM?,Why is STEM mostly whites and asians?,,,,,,,,,,,,,,,,,,,,,
Why are there fewer females in STEM?,Why is STEM mostly males?,Why do fewer girls go into STEM?,Why don't girls like STEM?,Why are there more males in STEM?,Why doesn't STEM have a gender balance?,,,,,,,,,,,,,,,,,,,,,
"How does someone recover from a professional ""bump in the road""?",How do I recover from a career failure?,How does a professional overcome a mistake?,How does someone get back on their feet after messing up?,How can I get over a major blunder?,Can I get back on track if I made a career mistake?,,,,,,,,,,,,,,,,,,,,,
Who has influenced you the most?,Who has had the most influence on you?,Has anyone significantly impacted your life?,Who has changed your life?,Who has had the greatest impact on your life?,,,,,,,,,,,,,,,,,,,,,,
Tell me about a mentor that you have or had. How did that person positively influence your academic decisions?,Have you had a mentor that has helped you academically?,Who is your mentor?,What mentor has influenced your academic decisions?,What experience do you have with mentors?,How did Professor Wilkinson positively influence your academic decisions?,,,,,,,,,,,,,,,,,,,,,
Who is a person that you considered as a role model early in your life? How and why does this person impact your life?,Who was your role model?,Who did you look up to?,Is there anyone you admired?,What is an example of one of your role models?,who did you idolize growing up?,did you look up to someone as a kid or student?,,,,,,,,,,,,,,,,,,,,
Describe an experience that illuminates STEM culture,What is a time that shows STEM culture?,How would you depict STEM culture?,Can you tell a story about a STEM experience?,What is STEM culture like?,How would you describe STEM culture?,,,,,,,,,,,,,,,,,,,,,
Describe an experience that illuminates Navy culture,What is a time that shows Navy culture?,How would you depict Navy culture?,Can you tell a story about a Navy experience?,What is Navy culture like?,How would you describe Navy culture?,,,,,,,,,,,,,,,,,,,,,
Describe the physical environments in which you've worked.,What environments have you worked in?,What are the usual surroundings for your work?,What is the environment like for your work?,How are the settings of your work environment?,,,,,,,,,,,,,,,,,,,,,,
What struggles did you overcome to get where you are?,Have you overcame struggles?,What struggles have you gotten past?,What challenges have you surmounted?,How many difficulties have you faced getting to where you are?,,,,,,,,,,,,,,,,,,,,,,
What was a pivotal moment in your career/life?,What moment changed your life?,What has been a life changing moment for you?,Describe a life altering time.,Tell me about an impactful time in your life.,,,,,,,,,,,,,,,,,,,,,,
What are the failures for which you are the most unhappy?,What failures make you the most upset?,What defeat makes you the most distressed?,Tell me about your most upsetting shortcoming.,Describe a time you failed.,For what failure do you have the most regret?,What is your biggest failure?,Can you tell me about a major failure you've had?,What has been your saddest time in life?,What made you sad?,What was the saddest time in your life?,saddest moment of your life?,,,,,,,,,,,,,,,
What is the most dangerous thing you've ever done on the job?,What danger have you taken on in your career?,Tell me about a time you were in danger because of your work.,Were you ever in danger due to your work responsibilities?,What is an example of danger you've been in throughout your career?,Were you ever afraid in the Navy?,What were you fearful of in the Navy?,Do accidents happen in the Navy?,were you ever scared at work?,was your job dangerous at all?,did you do anything risky sometime?,Did you ever fear for your life?,Did you ever feel afraid at your job?,What about accidents on the job?,,,,,,,,,,,,,
Tell me about a time when your priorities conflicted with the priorities of your management,Did your priorities ever conflict with management?,Did you ever disagree with management?,Were you ever in a situation that made your priorities conflict with management?,How do you deal with priority conflicts with management?,Are there any times you disagreed with management?,Have you found yourself in a situation where blindly following orders wasn't necessarily the best option?,Did you ever feel unethical following orders?,tell me about a management experience.,did you ever have to blindly follow orders?,did you ever have a conflict with a senior?,,,,,,,,,,,,,,,,
Describe any instances of sexual impropriety in your workplace,Has anyone you know been sexually assaulted?,Do you know of any sexual impropriety at work?,Have you experienced sexual impropriety at work?,Have you witnessed sexual abuse in the Navy?,Do people in the Navy commit acts of sexual abuse?,Tell me about an example of inappropriate behavior at work.,,,,,,,,,,,,,,,,,,,,
What is your current position and how did you get there?,What do you do now?,How did you get to your current role?,Describe your steps in reaching your current position.,What was your process getting to your current position?,How did you get where you are today in your career?,What do you currently do and how did you get here?,Where do you work now?,What is your job right now?,what is your job today?,What is your career?,Tell me about your career.,Tell me about your current work.,what is your job?,what do you do for a living?,what are you doing in college?,Tell me more about your current work.,,,,,,,,,,
What is your plan to reach your career/life goal?,How do you plan to reach your goals?,Do you have a plan for your future goals?,Where to you want to be and how do you plan to get there?,What are your long term goals?,How do you intend to achieve your long term goals?,What are you going to do to complete your career or life goals?,What is your plan for continuing your career?,How will you get where you want to go?,,,,,,,,,,,,,,,,,,
What were some of your fears entering college and your career?,Did you have fears going into college or your career?,What were you afraid of before you went to college?,Were you worried about anything when you were entering college or your career?,What concerns did you have prior to entering college and your career?,What were you fearful of before beginning college and your career?,what were you scared of going into college?,,,,,,,,,,,,,,,,,,,,
What internships did you have? How did they prepare you?,Did you have any internships?,How did your internships prepare you for your career?,In what ways did your internship experience transfer to your real work?,Did you have any valuable internship experiences?,Were your internships valuable in preparing you for your career?,is this your first internship?,tell me about your internships.,are you an intern?,What did you do at USC?,,,,,,,,,,,,,,,,,
What used to be your biggest weakness? How did you improve it?,What were you bad at and how did you fix it?,How have you improved your negative qualities?,What did you do to improve your weaknesses?,What are your greatest weaknesses?,How have you worked on your weaknesses?,What are you the worst at?,,,,,,,,,,,,,,,,,,,,
How have your priorities changed as your career progresses?,Have your priorities changed throughout your development?,In what ways have your priorities adapted to your career situation?,What priorities do you have now that you didn't have earlier in your career?,Do you think differently now than you did at the start of your career?,Has your work shaped your priorities?,,,,,,,,,,,,,,,,,,,,,
What do you like to do the most?,What do you enjoy doing?,What are your favorite things to do?,Do you have any favorite activities or work?,What things do you prefer to do?,What are the most fun things you do?,Are some things more fun for you than others?,what makes you happy?,what makes you smile?,What is something that makes you smile?,,,,,,,,,,,,,,,,,
Are too many or too few people entering this profession?,Does this field have a lack of talent?,Does this field need more workers?,Is your profession short on hires?,How many people are going into your career?,Does this field need me?,,,,,,,,,,,,,,,,,,,,,
What sorts of changes are occurring in your occupation?,Is this field changing?,Is this career or profession changing?,How is this profession changing?,Is this field different than it used to be?,How different will this field be when I get into it?,What changes can I expect to see in this field?,How is computer science changing?,What is the future of computer science?,,,,,,,,,,,,,,,,,,
How do you proactively prepare for a decline in your field?,What if this field declines?,In what ways do you get ready for a decline in your career field?,How do you handle declines in your field?,Is there anything you do to prepare for a decline in your field?,How do you ensure security if your field becomes outdated?,,,,,,,,,,,,,,,,,,,,,
What do you believe will be the most important factors that will shape your future?,How do you see the factors influencing your future?,What factors do you forsee impacting your future?,Are there any factors you think will change your future?,What factors do you predict will play a role in your future?,What things does your future depend on?,What circumstances do you think will decide the future?,,,,,,,,,,,,,,,,,,,,
What was the coolest thing you did in the Navy?,Do you have any sick stories about your Navy career?,Did you get to do cool stuff in the Navy?,What cool things did you do in the Navy?,Is being in the Navy fun?,Did you have fun in the navy?,What sticks out to you as an awesome Navy experience?,what was the most interesting thing you did in the navy?,What was your favorite memory while in the military?,What is your favorite memory?,what is the coolest thing you have done with the navy,what was the most coolest thing that happened to youn in the navy?,,,,,,,,,,,,,,,
How do you handle fatigue at work?,Should I drink caffeinated drinks to stay awake?,How do you stay awake when you are tired at work?,Do you often get sleepy at work?,Is work exhausting?,How do you manage exhaustion at work?,What are your strategies for overcoming fatigue?,,,,,,,,,,,,,,,,,,,,
What branch of the military should I go into?,Which branch is the best?,How do I decide what branch to go into?,What branches of the military can I go into?,What are the best branches of the military?,Which branch of the military should I join?,How do I decide which part of the military to go into?,What about the army?,,,,,,,,,,,,,,,,,,,
How do you handle self doubt?,What if I don't believe in myself?,How do you overcome the thought that you can't do something?,How can I manage thinking that I am worthless?,Do you ever doubt your abilities?,What should I do if I don't believe in myself?,,,,,,,,,,,,,,,,,,,,,
Have you seen the button?,Is there a big red button?,Where do they keep the big red button?,Did you have access to the launch buttons?,Did you launch bombs?,Is it true that there is a big red button?,How big is the big red button?,,,,,,,,,,,,,,,,,,,,
How do you define success?,What does success mean to you?,How would you characterize achievement?,What is success?,How would you describe success?,What does it mean to be successful?,Do you have your own definition of success?,What does life mean to you?,,,,,,,,,,,,,,,,,,,
What has been your greatest success?,What is your best accomplishment?,What has been your greatest accomplishment?,Do you have a top success?,Which achievement would you say is your greatest success?,Tell me about your most successful moment.,,,,,,,,,,,,,,,,,,,,,
Do you need to be good at math or science to go into STEM?,Do I have to have good math skills to succeed in STEM?,Do I need to be good with numbers to go into STEM?,How important is math and science in a STEM career?,If I'm not good at math and science can I go into STEM?,What math and science skills are necessary to go into STEM?,Do you have to smart to go into STEM?,Do I need good grades to do STEM?,,,,,,,,,,,,,,,,,,,
How interesting is your work? Is it boring?,Is your work entertaining?,Is your work boring?,How boring is your career?,What parts of your work are boring?,Will I be bored in a career like yours?,Do you ever get bored at work?,,,,,,,,,,,,,,,,,,,,
Where will a STEM degree take me?,What can I do with a STEM degree?,How can I proceed after getting a STEM degree?,What opportunities does a STEM education grant me?,Where can I work after getting a STEM education?,What careers are available to STEM graduates?,,,,,,,,,,,,,,,,,,,,,
What factors should I consider when deciding where I want to study?,What should I think about when deciding a college?,How do I choose the right college for me?,What are the important things to think about when deciding on a college?,What aspects are essential when making my college decision?,How should I consider different colleges?,,,,,,,,,,,,,,,,,,,,,
What if I can't go or can't afford to go to a 4 year college?,Are there alternatives to a four year university?,What choices do I have besides going to a university?,How can I get past my inability to attend a four year college?,Do I have to go to a four year college?,What options are available if I can't go to a four year university?,What should I do if I can't afford a four year university?,,,,,,,,,,,,,,,,,,,,
How does your college matter?,Why does the college you attend matter?,Does the college I go to matter?,Is the college I attend important to my later success?,Can I go to a low ranked college and still succeed?,Do I have to go to a renowned university to get a good education?,Why is it important to attend a good college?,In what ways does the college I attend matter?,,,,,,,,,,,,,,,,,,,
What did you learn for your career that you truly never used?,Did you learn anything useless?,What is useless to learn?,What pointless things did you have to do for your career?,Did you learn anything that you never had to use?,How many useless things did you learn for your career?,,,,,,,,,,,,,,,,,,,,,
What specific courses do you recommend?,What classes are the best?,What classes should I take?,Are there any really valuable courses?,Do you recommend any classes I should take?,What valuable classes should I consider?,What are the best classes you've ever taken?,,,,,,,,,,,,,,,,,,,,
What courses are good indicators of whether I fit in this field?,Are there courses I can take to see if I can handle this field?,What courses will show me if I like this field?,Is there a course I can take to check if I will like STEM?,What class should I take to see if I like STEM?,What is STEM?,what classes tell me if I am smart enough for STEM?,,,,,,,,,,,,,,,,,,,,
What courses were just a waste of time for you?,What classes are the worst?,What classes should I not take?,Are there any worthless courses?,Were there any courses that you regret taking?,What are the most useless courses you've taken?,What are the worst classes you've ever taken?,,,,,,,,,,,,,,,,,,,,
What influenced you the most in your college decision?,What was the deciding factor for your college decision?,Why did you choose your college?,What made you decide to go to the college you chose?,What aspects did you rely on when choosing your college?,How did you make your college decision?,,,,,,,,,,,,,,,,,,,,,
What extracurriculars did you do in college?,What activities did you do outside of the classroom in college?,What things did you do for fun in college?,How were you involved in college?,In what ways did you get involved during college?,What did you do to make friends in college?,Were you involved in college?,,,,,,,,,,,,,,,,,,,,
What was the most difficult part of your education?,What challenges did you face in college?,What was hard for you in college?,Did you struggle at all in college?,Was college hard for you?,In what ways is college difficult?,what pressure did you have in college?,,,,,,,,,,,,,,,,,,,,
"Given the chance to do school over, what would you do differently?",Would you do college differently if you had a second chance?,What would you do differently in college?,What do you regret not doing in college?,Is there anything in college that you would like to do over?,What would you change if you could start college over?,How would you modify what you did in college if you could?,,,,,,,,,,,,,,,,,,,,
What opportunities are there for future education and training?,How can I continue to be educated in my career?,What chances did you have to continue your learning in your career?,Does your career allow you to continue your education?,How does your career give you the opportunity to continue learning and growing?,Are there ways to continue your education throughout your career?,,,,,,,,,,,,,,,,,,,,,
How do you continue to improve your skills during your career?,How do you make sure to grow during your career?,In what ways can you learn during your career?,Is college the end of learning?,How can I make sure to never stop learning?,Do you still have the opportunity to learn and grow while working?,How do you learn and grow outside of structured education?,,,,,,,,,,,,,,,,,,,,
How do you stay in touch with family?,How do you keep your connection with family?,What ways are there to contact your family?,Does the Navy allow you to talk to your family?,How do you talk to family while serving?,What opportunities are there to stay in touch with people outside of the Navy?,,,,,,,,,,,,,,,,,,,,,
Can you change branches? Can you switch to the Army or Air Force?,Can I switch branches once I am in?,Does the military allow you to switch branches?,Can I change from Navy to Air Force?,Can I become a Marine if I join the Navy?,How can you switch branches in the military?,,,,,,,,,,,,,,,,,,,,,
Do you need to exercise all the time or be in great shape?,Do the services make you work out all the time?,Do I have to be fit to join the military?,How athletic do I have to be to be in the military?,Does the military force you to work out a lot?,Do I get to work out if I am in the military?,If I am out of shape can I still join?,can i join the navy if i'm overweight?,can i join the navy if i am overweight?,,,,,,,,,,,,,,,,,,
What types of uniforms do you wear?,What are the uniforms like?,How are the Navy uniforms?,How would you describe the uniforms of the military?,What uniforms do you have to wear?,Do you have to wear the same uniform every day?,Are the uniforms comfortable?,,,,,,,,,,,,,,,,,,,,
How transferable is your job to the civilian sector?,Is your military experience applicable to civilian jobs?,Does the military teach you skills that you can use after you get out?,Is it hard to get a job after leaving the military?,How prepared are you for an outside career after leaving the military?,What jobs can you get after you leave the military?,Will I be able to get employed after leaving the military?,what is a submarine?,,,,,,,,,,,,,,,,,,,
Do you get to fly in helicopters or planes?,Did you fly in a helicopter?,Have you flown in a helicopter or plane?,What is it like to fly in a helicopter?,Have you had the chance to fly in a helicopter or plane?,Do you get to fly to your station?,Do you fly to your destination when you travel for the navy?,,,,,,,,,,,,,,,,,,,,
"Is it possible to quit the military? (Either deployment, or the service?)",Can I quit the military if I don't like it?,Can you leave the military?,Are you committed once you join the military?,What opportunities are there to get out of the military?,How can I quit if I end up hating the military?,What if I find out the military isn't for me?,,,,,,,,,,,,,,,,,,,,
What happens if you get into trouble in the Navy?,What are the punishments like in the Navy?,How do you get punished in the Navy?,What if I do something wrong as a Navy sailor?,Can I get into trouble in the military?,What are the impacts if I get into trouble in the Navy?,,,,,,,,,,,,,,,,,,,,,
Have you killed anyone?,Did you shoot anyone in the Navy?,What is it like to kill someone?,How many people have you killed?,Is it hard to kill someone?,have you seen combat?,did you ever kill anyone?,have you ever had to shoot anybody,,,,,,,,,,,,,,,,,,,
Are you happy with your job?,Do you like your job?,Are you satisfied with your work?,How content are you with your work?,Do you enjoy doing what you do?,Were you happy with your career?,do you enjoy being in the navy?,do you like the Navy?,do you like what you do?,,,,,,,,,,,,,,,,,,
What is the best military perk you experienced?,What are the best benefits of joining the military?,How does the Navy take care of its members?,What perks come with joining the military?,What are the extra pluses of being in the military?,,,,,,,,,,,,,,,,,,,,,,
Is the military like it is in video games?,Do video games portray the military accurately?,Will my military experience be like playing a video game?,How accurate are video game representations of the military?,How is the military different than it is shown in games?,,,,,,,,,,,,,,,,,,,,,,
"Can you use outside communication on a deployment, like using the internet and email, calling by phone, and writing mail?",Can I call people while on a Navy ship?,Can I use my phone and the internet while deployed?,If I am in the middle of the ocean do I have access to a phone or internet?,"How can I use the internet, mail, or a phone while on a ship?",Is it possible to use outside communication while on a ship in the Navy?,,,,,,,,,,,,,,,,,,,,,
Can you have a cell phone or laptop while in the military?,Does the military take away my phone and laptop?,Can I bring my phone and laptop while in the military?,How easy is it to use my phone and laptop during my service?,Are you allowed to use phones and laptops in the military?,Is cell phone and laptop use prohibited?,,,,,,,,,,,,,,,,,,,,,
Can you drink alcohol when deployed?,Can I get drunk while on my ship?,Does the Navy allow you to drink?,How often are service members allowed to drink on deployment?,Is it possible to drink while serving in the Navy?,Does the Navy look down on alcohol on the ship?,Do you drink?,,,,,,,,,,,,,,,,,,,,
Where have you been in port?,Where have you traveled?,Where have your ships ported?,What ports have you been to?,Where have your ships docked?,Which countries have you been to on your aircraft carrier?,australia,tell me about australia,,,,,,,,,,,,,,,,,,,
"How important is it to have the right training, degree or experience?",Does having the right training matter?,Do I need relevant experience?,Is it essential to have extensive training and education?,"Do I have to be trained, educated, or experienced to succeed?",How much does your training and prior knowledge matter?,do you need to go to college to get a job in computer science?,do you need a degree to go into STEM?,,,,,,,,,,,,,,,,,,,
Why shouldn't I join the Navy?,What reasons are there to not join the Navy?,Is there any reason I should not join the Navy?,For what reason should I reconsider joining the Navy?,Is a Navy career for everyone?,How do I know if I should not join the Navy?,,,,,,,,,,,,,,,,,,,,,
How can I study STEM and another area?,Is it possible to double major in a STEM field and something else?,Can I study two things at once?,Is it hard to study STEM and other fields?,How realistic is it to study STEM and another area?,Do a lot of people study STEM and other things?,How difficult is dual study in STEM and something else?,What if I like another field?,What if I care for other fields?,,,,,,,,,,,,,,,,,,
What is the typical education level at each stage of a career in the military?,Is everyone in the military educated?,Is anyone in the military educated?,Do I have to be educated to be promoted in the military?,How many high ranking officials in the military are educated?,What is the average level of education in the military?,Do military members normally get educated?,,,,,,,,,,,,,,,,,,,,
In what ways did your education prepare you for your career?,How did your education ready you for your career?,Did your education help you in your career?,To what extent did college further your career?,Why is college worthwhile in helping my career?,Did going to college give you career advantages?,Did you learn things in college that made a difference in your career?,,,,,,,,,,,,,,,,,,,,
Is sexual harassment common in the military?,How common is sexual harassment in the service?,Is it normal for women to get sexually abused in the military?,Will I be harassed if I join the military?,How many people do you know who have been sexually harassed while in the military?,Do a lot of people experience sexual abuse in the military?,,,,,,,,,,,,,,,,,,,,,
What kinds of people succeed in STEM fields?,Who is good in the STEM field?,What makes someone successful in STEM?,What characterizes effective workers in the STEM field?,Is there a certain kind of person that does better in STEM?,Are some people more apt to succeed in STEM?,What makes someone a good person to go into STEM?,What characterized someone good at STEM?,,,,,,,,,,,,,,,,,,,
What kinds of new skills have you learned recently?,What have you learned recently?,Have you learned anything new lately?,What is the newest thing you have learned?,Have you improved any skills lately?,What skills have you developed recently?,what do you want to learn?,what are you learning now?,what are you trying to improve?,What is something you want to be better at?,What are you doing in Japan?,Why are you living in Japan?,What have you learned since living in Japan?,,,,,,,,,,,,,,
How much does GPA affect job outcomes?,Does my GPA matter in terms of my career?,How does GPA impact career outcomes?,In what ways does GPA influence career opportunities?,What does GPA mean career wise?,If I have a poor GPA does that limit my career options?,Should I focus on my GPA in order to have a successful career?,If I have a bad GPA can I still get a good job?,,,,,,,,,,,,,,,,,,,
"If I did poorly in high school, can I join the military?",Does the military care about how I did in high school?,Will the military still accept me if I dropped out of high school?,Can I go into the military if I flunked out of high school?,Will the military know how I did in high school?,,,,,,,,,,,,,,,,,,,,,,
How do I pay for education?,Are there strategies for paying for school?,How do I go about paying for college?,College is expensive.,How can I afford college?,How can I make it possible to afford college?,Are there ways to help me pay for college?,,,,,,,,,,,,,,,,,,,,
"Should I still go to college, if I need to take out a loan?",Is college worth the loans?,Is it okay to take out loans for college?,Should I go into debt for college?,Is my education worth the loans?,Should I take out a lot of loans to go to college?,Is it smart to take out loans for school?,Is college a good investment?,,,,,,,,,,,,,,,,,,,
How often have you been presented with challenging new skills to learn?,To what extent are you given new skills to develop?,How common is it to learn new skills?,Are there a lot of opportunities to develop new abilities?,How many times do you get to learn new things?,,,,,,,,,,,,,,,,,,,,,,
How much of your free time do you spend learning new tasks?,Do you dedicate free time to learning things?,Are you required to learn things in your free time?,Will I have to learn tasks on my own?,Do I always get paid for learning things for my job?,Do you waste a lot of time learning new skills?,Did you work while in college?,Did you work while taking college classes?,,,,,,,,,,,,,,,,,,,
What are you doing daily to ensure your growth and development continues?,How do you improve yourself regularly?,Is there anything you do to make sure that you continue getting better at what you do?,How can I continue to develop myself?,What daily activities do you do to continue your development?,How do you prioritize personal development?,How would you recommend ensuring that I improve myslef?,,,,,,,,,,,,,,,,,,,,
How is college different than high school?,Is college like high school?,Is high school the same as college?,Why are college and high school different?,Will I like college if I didn't like high school?,In what ways is college a different experience than high school?,How does the college experience contrast high school?,do you like your college?,,,,,,,,,,,,,,,,,,,
What part of your future are you most worried about?,Are you worried about your future?,What troubles you about the future?,What concerns you about the future?,Are you anxious about the future?,What makes you nervous about the coming years?,What factors of the future do you fret about?,,,,,,,,,,,,,,,,,,,,
When were you active duty?,What dates were you serving in the military?,When were you in the military?,How long were you serving?,What years were you active in the Navy?,When did you serve?,how long were you in the Navy?,,,,,,,,,,,,,,,,,,,,
How long have you been in the reserves?,Are you in the reserves?,When were you in the reserves?,,,,,,,,,,,,,,,,,,,,,,,,
Where do you see yourself in 5 years? 10?,What do you want to do next?,What are you going to do now?,Where are you going to go now?,Where is your future going?,what will you do after the navy?,what will you do after you graduate?,what will you do after college?,where do you want to be in the next 2 years?,,,,,,,,,,,,,,,,,,
Tell me about the CS project that you are most proud of.,What programming did you like the most?,What is your biggest coding achievement?,What tech project are you most happy with?,Tell me about a CS project you've created.,Have you created any games?,,,,,,,,,,,,,,,,,,,,,
What is a STEM career like?,Tell me about being in a STEM career.,What is it actually like being in a STEM field?,What do STEM majors actually do?,What do you do in a CS or STEM career?,,,,,,,,,,,,,,,,,,,,,,
What are the different types of STEM that people can practice?,What can I do in STEM?,What are my options for STEM?,Tell me about the opportunities available to STEM majors.,What can I do as a STEM worker?,,,,,,,,,,,,,,,,,,,,,,
What are the different types of careers in computer science?,What can I do in CS?,What things can computer scientists do?,Are there different sectors of computer science careers?,,,,,,,,,,,,,,,,,,,,,,,
Have you been the victim of favoritism?,Is the miltary political?,Is promotion in the military biased?,How political is the Navy?,Do you have to be likeable to succeed in the military?,Is favoritism a problem in the Navy?,Is promotion fair?,,,,,,,,,,,,,,,,,,,,
What is A School?,Do you get any training in the military?,When do you get trained on your Navy role?,What do you mean by A School?,Is there any more training after boot camp?,When do you learn about your actual Navy duties?,Will the navy train me if I have no experience?,,,,,,,,,,,,,,,,,,,,
What is the best career to go into?,What do you think is the best job to do?,What is the best career to pursue?,What is the top career?,Is there an ideal career?,What makes the best job ever?,what career should I choose?,what is the best job out there?,if you could do any job what would you do?,what is the best navy job,,,,,,,,,,,,,,,,,
What is the best STEM field to go into?,What is the best STEM field?,What is the best area of STEM to pursue?,What STEM do I go into?,,,,,,,,,,,,,,,,,,,,,,,
What STEM field makes the most money?,What is the best STEM field financially?,What job makes the most money in engineering?,Tell me about the top paid technology jobs.,I want to go into the highest paying STEM field.,What field should I go into for big money?,What field is best in terms of money?,I want to be rich,I want to make a lot of money,,,,,,,,,,,,,,,,,,
What Navy position makes the most money?,Who makes the most money in the Navy?,How do I make more money in the Navy?,What Navy job pays the highest salary?,I want to go into the highest paying Navy field.,What Navy work should I go into for big money?,What Navy field is best in terms of money?,,,,,,,,,,,,,,,,,,,,
What excites you most about the future?,What are you looking forward to?,What do we have to be excited about?,What cool stuff will come in the future?,What developments or changes does the world have to look forward to?,What is soon to come?,,,,,,,,,,,,,,,,,,,,,
What is the most important thing I should learn from you?,What should I ask you about?,What is the best thing you can tell me?,What is the most essential thing I should know?,What can you teach me?,What is one thing I should take from you?,Tell me something important.,What advice do you have for me?,What do I need to know?,,,,,,,,,,,,,,,,,,
How does this work?,How do you work?,So I just ask you questions?,What am I supposed to do?,What is this?,what should i ask you?,What convinced you to do this project?,,,,,,,,,,,,,,,,,,,,
What's your favorite joke?,Tell me a joke.,Do you know any jokes?,What's a good joke?,Do you have humor?,say something funny.,make me laugh.,can you make me laugh?,I bet you can't make me laugh.,Tell me a joke,Do you know a joke?,,,,,,,,,,,,,,,,
How does this NLP work?,How are you answering my questions?,What natural language processing is involved in this project?,How do you know what to respond?,How can you recognize what I am saying?,are you an AI?,,,,,,,,,,,,,,,,,,,,,
Where should I go to find more information?,Where can I find more information?,What resources can I use to find out more?,Where else should I research?,Is there anywhere to find more information?,I don't know where to go to find out more.,,,,,,,,,,,,,,,,,,,,,
Where should I go to find more advice?,Who else can I ask for advice?,I don't know anyone who can give me advice.,What should I do to receive more advice?,Are you the only person who can give me advice?,,,,,,,,,,,,,,,,,,,,,,
Who should I talk to?,Who are the best people to talk to?,Who can I ask more questions?,I don't know who to talk to.,,,,,,,,,,,,,,,,,,,,,,,
How do you feel about becoming digital?,Do you like the computer you're inside of?,Do you enjoy being in a machine?,How is it being virtual?,What is it like to be real and virtual?,Do you like your avatar?,Do you feel trapped inside a computer?,,,,,,,,,,,,,,,,,,,,
What should I do now?,What do I do?,Give me advice.,Tell me what to do.,What is the most important thing for me to do now?,What do you recommend I do now?,What should I do?,,,,,,,,,,,,,,,,,,,,
What is your favorite thing to talk about?,What do you like to talk about?,What are you interested in right now?,What do you do in your free time?,what video game are you playing?,what is your favorite video game?,,,,,,,,,,,,,,,,,,,,,
What are you?,What is this?,Are you a machine?,Tell me what you are.,,,,,,,,,,,,,,,,,,,,,,,
Are you human?,Are you alive?,Are you the same species as me?,Are you an AI?,,,,,,,,,,,,,,,,,,,,,,,
Are you there?,Did you leave?,Tell me if you're still here.,Is this working?,,,,,,,,,,,,,,,,,,,,,,,
Are you real?,What do you look like?,Do you actually look like that?,Is this real?,Do you exist?,Is this fake?,,,,,,,,,,,,,,,,,,,,,
How can you help me?,What can you do for me?,What can you assist me with?,How can you benefit me?,What is it you do that's supposed to help me?,,,,,,,,,,,,,,,,,,,,,,
What time is it?,What is the time?,Do you have the time?,Tell me what time it is.,,,,,,,,,,,,,,,,,,,,,,,
Can you sing a song?,Sing me a song.,Can you do any tricks?,Do you know any songs?,Can you sing?,Do you sing?,Say something in Japanese.,Do you know how to speak Japanese?,Can you speak japanese?,Do you know japanese?,Do you do karaoke in japan?,say something in japanese,,,,,,,,,,,,,,,
What am I doing right now?,Guess what I'm doing.,Do you know what I'm doing?,Tell me what I am doing at the moment.,,,,,,,,,,,,,,,,,,,,,,,
For what in your life do you feel most grateful?,What are you thankful for?,What are you grateful for?,What do you appreciate the most?,What makes you lucky?,Why are you grateful?,,,,,,,,,,,,,,,,,,,,,
What did you get your undergraduate degree in?,what was your undergrad major?,what was your major in berkeley,what did you do in UC Berkeley?,what did you study in Berkeley?,where did you go to school?,where did you go to college?,what did you study?,what did you get your bachelor's degree in?,what is your major?,What was your major at Berkeley?,What did you get your bachelors in?,Tell me about your education,Did you go to college?,where did you get your degree,,,,,,,,,,,,
Why did you get a minor in education?,do you have a minor?,do you have a teaching degree?,why did you become a teacher?,why teach?,did you study anything else?,did you get a minor?,did any other subjects interest you in college?,why did you get a masters degree?,,,,,,,,,,,,,,,,,,
What did you get your master's degree in?,what was your master's major?,what was your major in USC?,what did you do in USC?,what did you study in USC?,where did you go to graduate school?,did you go to graduate school?,what did you go to grad school for?,what did you study in grad school?,what is your graduate degree?,Why are you going to school right now?,What did you get your masters in?,Tell me about your masters,,,,,,,,,,,,,,
Why did you go to college and grad school?,why are you getting a degree?,why did you get a higher education?,why did you go back to school?,why did you want to do more school?,why did you go to college?,why college?,why should someone go to college?,why was college important to you?,should I go to college?,why college?,,,,,,,,,,,,,,,,
Why should anyone go to grad school?,who should go to grad school?,should i get a master's degree?,should I get a phD?,should I get a doctorate?,why more school?,are there lots of smart people in berkeley?,,,,,,,,,,,,,,,,,,,,
How do you balance going to school while being in the military?,how do you take classes in the military?,is it hard doing school and army?,is getting an education hard in the Navy?,can I still take classes in the Navy?,Is the military hard,,,,,,,,,,,,,,,,,,,,,
What path would you recommend for someone who wants to go to college but also be in the military?,can I go to college and the military?,should I go to school in the military?,I want to join the military and go to school.,Can i be in the army and in college?,Is the military hard?,,,,,,,,,,,,,,,,,,,,,
