Topics,Helpers,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
"Military, JobSpecific, Travel",Navy,How significant is there a chance of being deployed?,"Everyone in the military that is on a ship will be deployed at sometime. So our schedule is we do one and a half years on the shore, and then we do six months at sea. We do that twice and after that time, after that four year period, then you're scheduled to go work on a short command, and that should be anywhere from two to three years. So it depends on whether we're at war or not, whether the up tempo is really high or not, whether the ship that you're on has been out to sea a lot, but that's generally, the two year, the two year ship shore schedule is generally what it is.",how often do you go to sea?,will I get deployed?,how much will I be away from my family?,does everyone get deployed?,do I have to leave home if I am in the military?,,,,,
"Lifestyle, Military, Benefits",Navy,What things are there for me to do on a ship?,"When you're on your ship you have a lot of opportunities available to you. Now I won't lie, the bigger the ship you're on the more opportunities that are available. So you have a really small ship let's say a destroyer, that's not small but like the destroyer is I guess a ship that has maybe a couple thousand people on it. It's kind of like a high school you could say, the size of a high school. And there aren't that many things to do. I've never been on a destroyer but I just know from my experience with the aircraft carrier. It has to have less than what I had and at least for an aircraft carrier which has five thousand people usually. When we're on deployment we have, it goes up to eight thousand people when you add all the people that come in with airplanes, and the people that take care of the airplanes, and the extra officers and enlisted people. Eight thousand people is the size of a small city. So on an aircraft carrier we have our own post office, we have our own little recreation center. We have a couple of places for fitness, but in general it is a war craft vessel. Therefore there aren't that many, there are limited places that you can do, that you can have on the ship that cater to entertainment. So people find their own entertainment. So for me, my entertainment on the ship was I'd watch movies all the time. So everybody has their own little laptop or their DVD player, you can rent movies from the little recreation center that's there. They had bands in little hidden spots of the ship. So there would be drums and guitars and you know like even keyboards all hidden, but that did they make space and you know they play as loud as they want. Obviously the fitness centers are there, and you can see card playing all over the place. Whenever there is a rack, a living quarter, then there's this little table outside you know like three or four of them. With couches to watch TV to watch movies and to play cards right there, so that's how we spent our deployments.","if I am at sea, what can I do to relax?",is there free time to do stuff on a ship?,what kinds of break activity is there at sea?,Is a ship boring?,,,,,,
"Advice, Decisions, Military",Navy,Why should someone choose to be a part of the Navy?,"I chose to be a part of the navy yes because I wanted to further my career and have you know a good salary, all the benefits, but I also feel that you have to serve your country at sometime in your life. Now I know that sounds cliche, but that's the way that I feel. I came from a really military family. My uncle was in the military, my dad was in the military, my brother was in the military, and me too, and although yes I could of just been a civilian, like I was on that path. It felt like, at least for me in particular, it felt like something would've been missing from my life, something I can't be on my death bed and say that I never protected my country the way that I saw my family protect it. So it was a calling for me. Why would other people join the military especially if you don't have military people in your family, you have to think. Well first you have to trust your politicians. You'd have to think that they're going to war and they're defending America for good reason. So the wars that we fight we hope will bring stability to the world. You might see on TV that you know children are bloodied and people are you know like running for their lives, running from terrorism, running from lots of different things, you know you've seen the news. So if you wanna be a part of bringing that to an end, then military is one way that you can at least try. Also defending the nation, now we've been safe for a long time. Yes we had 9-11 and yes there are domestic terrorists but compared to other countries in the world, you might realize that America is a pretty safe place to live. When you're considering foreign powers trying to come in and influence us. So we have that strong military to thank for that. So if you want to be a part of that team you know, and have the stamp of veteran for your character for as long as you live then the Navy would be a good spot to start.",give me good reasons to enlist.,how is a Navy career rewarding?,what makes a career like yours worthwhile?,why should I join?,what is a good reason to join?,,,,,
"STEM, Decisions, Advice",,Why should someone choose to go into CS?,"When you think about your future career computer science could be one of the funnest things that you can do. I know for me I took some english classes in college and math classes and lots of other classes. And the one that I actually wanted to do homework for, the one that I finished the homework assignment and I wanted to keep working on it afterwards despite what the you know, despite my grade, despite you know like whether I did good on it or not, and despite whether I'd be graded on it or not, it was computer science. That's one of the only ones that affected me like that. If you want to maybe make your own business with your laptop based on things that are in your mind, things that you're coming up with on the fly, then computer science would be a good choice. If you want to be in the music industry and work on like different sounds and processes and, I guess computer science has a has a big deal with music as well and movies as well. My job for my major at University of Southern California is game development, and as it turns out, games are actually more, turn out more profit than movies nowadays. So if you like games, then computer science could be the way to go as well.",what is so good about computer science?,why are computers a good area?,what is the benefit of going into computer science?,why technology?,why STEM?,,,,,
"STEM, Impact, Future",,What are the long-term impacts of entering computer science or STEM fields?,"The impact that you can have as an engineer and particularly computer scientists are amazing. So when I was in the military I did a job and I noticed that whatever I did on January 1st wouldn't really be recognized on December 31st, it's because I'm doing the same job. That's fine for a lot of people, but for me I chose to try something different than the military job that I was doing because I wanted my job to be persistent. So this is what I mean. Right now I'm with the University of Southern California's Institute for Creative Technology making this video. This video could be seen by thousands, hundreds of thousands, hopefully millions of other Navy people. I could affect those lives. These are things that are going to be happening you know five years from now, ten years from now. So I can actually affect my world. Many engineering communities are like that. If you're making a robot right, if you make that robot on January 1st, hopefully December 31st you're shipping that robot, and that robot will go to Afghanistan and find a bomb you know. If you're an electrical technician, maybe you're making some kind of new component for a car and later on that car is gonna be faster because of the component you made. So for a lot of engineering jobs you work and then you create a component, you create a product, and then you can see that product in action, and that's one of the biggest benefits of being in a STEM field.",how will I make a difference?,,,,,,,,,
",does STEM change the world?,what mark can I leave doing this work?,,,,,,,",,,,,,,,,,,,,
"Colleagues, Lifestyle",,How do you and your work colleagues socialize outside of work?,"There's a lot of socialization that happens outside of the military for military members. This is what I mean. So you're with these guys from the morning until you know work ends at like four, five o'clock and you would think that hey you know what, in a civilian job you take off you know do my own thing. But it turns out that when these are your friends you know, these are the guys that you're joking around with, these are the guys that you've been on deployment with and you have to see them everyday. You become very much like family you know, very much like brothers and sisters. So as soon as work ends, these same guys are going to be going to the local bar and drinking and chatting and maybe then going to somebody's house and playing video games and stuff so it's very very close here.",is there a lot of friendships among your colleagues?,do you guys go drinking together?,do your work colleagues' and their families get together?,what is the social sphere like?,is work social and friendly?,do you like who you work with?,,,,
"Demographics, Military",Navy,What is the gender mix of your workplace?,"The gender mix is very male oriented, just like any engineering job. any engineering academic field, they sway over to to men. So the Navy's pretty good about that, the Air Force is the best I think, they're you know getting close to like sixty forty percent maybe even higher, male to female ratio. I think the Navy is a little bit lower it's from what I understand, maybe my aircraft carrier was one quarter female, at least that's kind of what I saw, and that's about what it was. But it could be lower, maybe twenty percent is probably what I'm guessing. The engineering field of the Navy is, on submarines depends you know which ones you're going on. If it's a fast attack submarine I think they just barely started just a couple years ago started allowing females on, and if you're on a ballistic submarine, which means they shoot nukes off, nuclear weapons off, then they don't have females on there at all.",how many guys and how many ladies at work?,is there a decent mix of men and women in the service?,are there many of both sexes where you have been assigned?,are any girls in the Navy?,,,,,,
"Demographics, Military",Navy,What are the ethnic percentages of your workplace?,"The Navy is pretty diverse. I think it also depends on which location you're in, because people tend to go back to where they come from. So let's say South Carolina which is very white then it probably has a higher percentage of white people there. In California, which is very very diverse, then you have a lot more of a diverse mix there you know so, but despite that wherever there's a military town, it's much more diverse than the outlying area by far so you don't really have to worry about being in a select group in the military, it's it's all over the place. So I think from what I saw, there's, percentages would probably go maybe five percent Filipino, maybe ten percent black, maybe fifty percent white, twenty percent Asian, and then the rest is a kind of mix. But like I said it really depends on what your rate is. For maybe the higher level rates, it tends to be mostly white and Asian, and it also depends on which city you live in, for there's people that want to come back to live around their family.",are people at work from all races?,is there any segregation by race?,what is the breakdown of race and national origin in the workplace?,Is your work racially diverse?,,,,,,
"Decisions, Military","Negative, Navy",Why do people leave this field or company?,"There are a lot of reasons that people leave the military. The military has a lot of great reasons to stay, the retirement benefits, the job security, serve the country. However, I think especially when people want to make a higher salary, and they find a good job outside and they want to just try to do something else, then that can be a good motivating factor. The military can be very dangerous, especially like for the people that send the planes off. If you do that you know every single year, month after month, day after day, then that could affect your hearing. You can be in many dangerous situations and some people just don't want to do that type of job anymore, that can be risky. Another reason that people leave the military is because they want to see their family grow. When you're on deployment that's a good six months that you don't see your daughter grow. You don't see your son grow, you're not with your wife, you're not with your husband. So after a few of those deployments, you kinda start to miss that, you actually want to see when your spouse has their kid you know. If your wife is pregnant you want to actually see it be born. And I know a lot of people who weren't there for that, so that's the third reason that I see a lot of people leave the military.",what makes people want to quit?,is there a reason that drives personnel to leave the service?,why do so many people leave the military?,what reasons are there to leave the Navy?,,,,,,
"STEM, Decisions",Negative,Why do people leave the CS/STEM field?,"I've been in CS ever since 2008 and it's 2016, so about eight years and I wouldn't say I'm really perfect at it. I think to be one of the, to make a high salary in computer science you have to be really good at it, that's hands down. If you're just kinda average then you'll make an average salary so, but having a really good job is on the top of every computer scientist's mind, but not everybody is so great at it. So me I'm in Japan, I'm studying a lot I open books and watch online tutorials to try to get to that point. If I don't get to that point, then maybe I would try to do something similar to computer science, but maybe not specifically on, there's web designing, there's Electrician's Mate, there are lots of jobs that like, for instance a director. Those could be jobs. So I think if other people, if other computer scientists are like me, then I guess they might become discouraged because the job that they're trying to do is difficult, and it's hard to learn those difficult things.",do people get tired of science?,is technology a field that keep people for a long time?,do people leave the STEM field?,what if I get bored with STEM?,,,,,,
"Lifestyle, Military, Advice",Navy,"How will my relationship with my friends or family members be affected if I join the Navy, and what advice should i give them?","I think that there will be two major things that anybody who knows you would kind of think about you after you join the military. Number one is they'll give you a lot of respect. They know what the military does you know, everybody knows like how the military you know fights these wars and if they're Americans then they probably have, they give a lot of credit for risking your life for them. Number two they will probably be scared. They'd be scared for your life, especially if you're going to go fight a war, and they'd be scared for your safety, because the military has a lot of dangerous places outside of war. So respect for you and fear for you. If you can kind of manage those two, then you can kind of convince them hey you know like the military could be the right choice, and as much as you want my safety, you have to realize like the job I'm trying to do is for everybody's benefit.",can my being in the Navy worry my family and friends?,how do I tell my family or parents that I am joining the military?,what should I tell my folks about the Navy?,will my relationships suffer from being in the Navy?,,,,,,
"Education, Benefits, Military",Navy,How do the educational benefits of the military work?,"Once you join the military then you're a part of a group that really wants you to succeed, especially educationally. So we have this thing called tuition assistance, it provides you $2,500 per month, actually $2,500 in one year to take any community college class that you want. We also have the Montgomery GI Bill, which was changed to the 9-11 educational benefit for people who have served and who get out of the military and want to continue on their, continue their education. You can use it while in the military but it's kind of a waste because they don't give you as much as people who get out actually get. There's also Ihis thing called CLEP (College-Level Examination Program) it's basically they allow you to take some courses that provide community college course credit, that's specifically for the military, and many of those CLEP courses are free. So you can actually like work towards your college degree with those CLEP courses for like while you're on deployment, which is when you're out fighting a war for six months, or when you're back home on shore during your off time. You can also like do some kind of online community college courses or you can take university courses. They provide lots of veterans benefits, maybe free benefits that you can take the class or a reduced price.",describe my chances of getting education in the Navy.,does the military pay for your college?,how can I pay for school and join the military?,how do I receive the military educational benefits?,,,,,,
"Growth/learning, Future",,What is the advancement potential in the field? What is a typical path?,"The advancement potential that you have when you're in the military really depends on the job that you have. So I'm an Electrician's Mate, nuclear trained. So at the end of six or eight years, many people actually leave the service, so because that happens there's a wide open range for people that want to keep progressing, because like the top is open, so that means that you know they train and then once they get to that point, because nobody  is ahead of them, then they get the rate. There's also lots of Electrician's Mates available, like jobs available. So if you're in a job that has only a few spots available, like let's say it's a very specific job for a specific ship, or a job that's really really nice, really comfortable and no one wants to leave, then that means that those higher positions are staying there, they don't retire after eight years or ten years, they stay until twenty. That means that that's gonna block. So it would be helpful for you to figure out which job you're getting and try to ask about the advancement potential early on so that you know that you're in a job that can promote easily and fast.",how do you get promoted?,can I impact how soon I get advanced?,how does advancement work?,is it common to be promoted?,,,,,,
"Skills, Future, Military",Navy,How will my experience transfer to civilian life after my Navy tour of duty?,"When you're transferring to civilian life, it really depends on what type of job you had when you were in the military service. So I was an Electrician's Mate, which means that the word electrician is a part of lots of jobs out there, so it shouldn't be too difficult to find a job that kind of fits my job on the ship. I was also a nuclear technician and obviously there are much fewer jobs out there for that, but they can be found. So every job in the military has a basic breakdown of all the things that they performed in very general categories. So some are more transferable than others. If you worked on nuclear weapons then chances are there aren't that many jobs for you. Comparatively there aren't that many jobs out there. However, if you're a cook let's say, then you know every city, every town, every shop, every place that that has shops for cooks has a job that you can apply for. So it really depends on the type of job that you get.",is this training useful in civilian life?,will this help me get a good job when I get out?,do employers like to hire veterans?,will my Navy skills transfer to civilian life?,,,,,,
"Military, Culture",Navy,What is a story that really shows what it is like being in the Navy?,"A story that really shows what it's like to be in the military, I have to say will be Oliver Stone's Full Metal Jacket. If you haven't watched it, go ahead and watch it because then you'll understand what boot camp is like, and the time that he had after the boot camp scene was during a war and it depends on when you're watching this whether you are in a war or not, but I think everything from the way that they talk to each other to the uniforms that they wear, to the jokes that they make, it's very very similar to how military people act. So you should watch that movie and then you'll have a much better idea about what the Navy is like.","tell me a good ""sea story"" that reveals the real Navy.",is there some tale that would help me understand the Navy life?,are there experiences you have had that exemplify a Navy career?,,,,,,,
"Military, Benefits",Navy,What do Navy reservists do and what benefits do they get?,"I'm in the military reserves, and it is exactly what the name says. It's a reserve, so we don't actively fight the wars. What we do is we, number one make sure that we are prepared to fight, and number two we train a lot to make sure that our mind is ready to fight. For me I was in the military for eight years, and then I got out joined the reserves. What that means is that the reserves call me at any time and they'll have somebody with eight years of active duty experience being able to fight. That means I know what a ship is, I know how to read the label plates to find out what I'm looking for, I know how to fix these pumps, and I know how to drive the ship, I know the valves to close when you're trying to shut off steam. So these are things that they don't have to teach me, as opposed to a civilian who has no experience, no training, and maybe that doesn't have the discipline to come and fight the war right away. So if we're going to fight a war, first people that go over are the active duty people. If you need more people then they call on me, the reservist people, a reserve person who stops his normal civilian job and becomes an active duty member for the amount of time that the Navy tells me to be. It could be anywhere from a few months to several years. After that time, then I'm supposed to come back to my civilian job, hopefully the civilian job is still there for me when I get back. If there's a huge war, then that's when we start calling the real civilians.",what are reservists?,what is a reserve career like?,do reservists get paid and do they get any benefits?,what are the reserves?,,,,,,
"Growth/learning, Skills, Military",Navy,What experience is necessary to become an officer?,"To become an officer you need two basic things. Number one you need a college degree time, that's a requirement. Number two you need to be able to present a good managerial style, people need to think that you can lead. Just because you have a degree doesn't mean that you have the authority or, doesn't mean that you have the presence of command to get people to follow you. So once you're going through the officer training program they either teach that to you or they don't allow you to join the military service. They would basically kick you out, so you need a college degree and you need to be able to supervise other people.",how can I become an officer?,what do you have to do to be eligible to become an officer?,do you have to have a college degree to get a commision?,do officers have special training?,,,,,,
"Management, Advice",,How do you get good feedback?,"With any job it's incredibly important to have a good source of feedback for the jobs that you do. If you're in a position where like you supervisor doesn't give you the the feedback that you need, he doesn't show you the right way to do things. What the Navy is really good for is having multiple resources to go to. So of course if you have one chief above you and you're an enlisted person and he's not listening to you, then what they say is that you can go above him. It's not generally expected that you do that, but it is possible you know. Everybody from the captain of the ship all the way down for the most part has an open door policy, which means that if something is on your mind you can come talk to them. Generally they like you to follow the hierarchy. So the first question that they are going to ask is ""did you ask the person underneath me?"" so beside you, if you have a problem with someone above you, you talk to the people to your left or right. Then you talk to the people, let's say it's a chief that you're complaining about, then you talk to another chief. And then, if neither of those listen, then maybe the senior chief or maybe the officer of the unit and onwards up. So if you have a problem your feedback, then there are lots of resources that you can go to.",can you tell me what to do if I get a chief or officer who is not helping me?,how will I know if I am doing a good job?,will others help me evaluate what I am doing right and what I need help with?,how can I make sure to get good feedback?,How do you handle supervisors who were unable or unwilling to give you feedback?,,,,,
"Decisions, Military",Navy,What are the most important decisions that you faced as a leader in your organization?,"Some of the most important decisions that I've faced have to do with morality I would say. So here's what I mean. The most important thing that you can do in the military is follow directions, but not everybody does that, unfortunately, and your tasks as a supervisor is to confront these things and take care of them appropriately. So this is what I mean. Let's say that there is somebody on the ship, coming onto the ship any he's drunk and he's not supposed to be drunk. What do you do? So you could either grab him by the collar and take him to the local Master at Arms this person in trouble right, and that's the right thing to do. Another right thing to do would be to chastise him, to handle it in house to make sure that he doesn't do it again to kind of supervise and mentor him, if you think that he's that type of person so you don't have to necessarily ruin his career. So basically it's a morality question, the type of personality that you have and how willing to stick to the books you are to make sure that you do the right thing. When it comes to things that are going on in the plants, things that are going on in the engineering field there's no morality involved. If that thing is leaking you don't think hey you know like should I fix it or not, it's not that big. No if it's leaking, if X then Y. But when you're dealing with people, people with personalities, people with emotions, people with families, you have to really take all of that into consideration and to determine the wise thing to do, not necessarily the thing that's written in the book.",tell me about tough choices you have had to make.,what kinds of command decisions have fallen into your lap?,"do you have to make critical decisions and, if so, what kinds?",what major decisions have you faced in the military?,,,,,,
"Advice, Background",,Who gave you the best advice about your life?,"The person who probably gave me the best advice about my life I have to say, it would be my friends, especially my Navy friends. I have a good friend he was a fellow nuclear electrician with me, we've been learning computer science together, we fought through our electrician trainings together, and he went off and did his own thing and just a conversation that we had you know like sitting around with some coffee or some beers, we talked about like well what do you want to be? Well I wanna be this. What do you want to be? For instance he actually taught me a lot about mortgages and stuff. I read this book that he presented its called Rich Dad Poor Dad by Robert Kiyosaki, and after reading that book then I kinda got ideas like okay rather than the cubicle thing I probably want to make my own business or something. I'd rather you know like have some kind of other income rather than a nine to five job. Or rather we would talk about his prior relationship and the fact that like his wife maybe didn't want to work so much. And we thought about like the income and outcome of his of a one working party system. You know like if one person doesn't work and the other person just takes care of the kids, then I guess you can't be as rich as you normally would be. So that had an effect on me, the person that I wanna meet in the future. Do I want like a housewife, which is fine you know. She could have a decent life making kids and you know making dinner and you know folding clothes. Or do I want a someone who's working, in which case like my clothes would suffer, my kids who suffer, my household chores would suffer you know. So like things like that are very very important to consider and to consider wisely and the fireside chats with my friend actually got me to think about my life, my future life very very very hard.",Who is your life mentor?,what person do you rely on for life advice?,what is the best piece of life advice you've gotten?,,,,,,,
"Background, Growth/learning, Advice",,What is the most important lesson about life you have learned?,"The most important lesson that I've learned about life, I don't know if it's true or not, but I say that you should follow your passion. That's what I'm doing myself. Hopefully I'll eventually reach that goal or at least you know fight the good fight or smiling until my death bed trying to follow my passion. I guess if I were following my passion then I would probably be in a nice paying job with a nice car and a nice house down the street in a nice cul de sac. But for some reason I feel like what I wanna do is, I want to own my own business one day, or I want to make some really outstanding computer science product. So because I'm doing that, it feels like my life is worth doing. Rather than me working for someone else, helping someone else make their dream come true, making the best Pepsi can in the world, or making the best table in the world, or making power for people of Orange County you know. All of those are are honorable professions, but it's something that I didn't come up with, it's not something that I wanted to do. So I'll try to do something I want to do and so far I'm glad that I'm doing it, so that's my suggestion for other people as well.",what is the best advice you can give about life?,what important things can you tell me about life?,what is the most essential thing you know about life?,,,,,,,
"Advice, Priorities",,What do you think is really important in life?,"Something that's really important in life, although I don't really have it in abundance myself. It's your connection with other people, be it your family, be it your close friends, be it your coworkers. You should really try to put yourself out there in the world, try to become you know a part of this world. I know that sounds very theoretical, but like if you're living in isolation, yes you're playing your video games, yes your studying all day and all night, and if you don't have that much interaction with other people in real life, then I think that you're missing out on something that is a really really really critical to make this world go round you know. I think you'd find yourself smiling a lot more every day and finding a better peace when you don't have any enemies around you, when you are looking out for your brothers and your sisters beside you.",what matters in life?,what really makes a difference in life?,what is central to your philosophy and approach to life?,how do I live a good life?,,,,,,
"Motivation, Impact",,What problem are you looking to solve?,"I'm trying to solve lots of different problems that are very educationally oriented. So, I want to bring technology to the classroom. I noticed that when I was in school, that the lectures were boring, from teachers, you know, writing up there on the blackboard, that the books, you know, they're kind of dry and you know, the words are plain. and then I go home and I see entertainment. I watch YouTube videos and I watch Netflix and I'm, you know, like, the videos that I watch are like, very educationally oriented. You know, I watch physics videos and I watch computer science videos so I try to, I would like to bring that style of education into the classroom because it's more interesting. So, I'm trying to solve that problem when it comes to things that I want to see come in the future.",What are you trying to fix?,What problem are you solving?,,,,,,,,
Motivation,,How and where do you find inspiration?,"A lot of my inspiration comes from myself. Particularly, I'm a designer so I just sometimes just sit by myself and I think, ""Well, what problems does the world need taking care of?"" You know, like, there's water that needs to be had in Africa or there's, I don't know, a building that needs to be built bigger or there needs to be like, a different type of game that I want to see in multi-person online role-playing games or something. So, lot of it comes from myself. Of course I can watch videos like YouTube or I can you know, hear people talking and then like, get inspirational from that but I think that the best types of ideas come from, you know, your own past, the things that you witnessed in your life and then you make new things, something that no one has ever thought of. Those are the best types of ideas that I think should be created.",Why are you inspired?,Where does your inspiration come from?,What inspires you?,How are you inspired?,Where does your inspiration come from?,,,,,
"Motivation, JobSpecific",,"How often do you ever get in a ""state of flow"" when doing your job?","When I am coding myself, there's this time that you're like, typing and you're thinking about, like the next algorithm that you're going to write and you start to get into this flow where you kind of see the future and it's all a matter of like, your hands typing down the words so that you can get to that point but at that time, it's not like you're typing, it's not like your thinking of things at the time. You already know where you want to go and it's just a matter of getting there as fast as possible. So, that's what I mean when I say flow, like, it's kind of like, if you play video games and you know how you're supposed to beat the boss and then you can see the person on the screen running and jumping and you know, sliding and stuff but you're not thinking about the way that your hands are controlling the character. You know, you're not thinking about B, B, up, down, left, right. You're just thinking of the person running and jumping and so, that's what homework is for me. That's what, like, when I do my start-up, that's what it is for me, you know, I see the end goal and that time, you know, between the time that where you are and the final product, that's the flow that I mean where it's like, you can just get into it and it's really fun and you can do it all day, because it's, you know, so inspirational.","Do you get in ""the zone"" at work?",Do you reach a flow state when working?,Do you ever get so focused that you forget about your surroundings?,,,,,,,
Motivation,,What makes you proud?,"I think I am at my proudest when I have some kind of difficult task, like some discrete math problem that, you know, I see that, you know, I can't do, you know, other people haven't, you know, done and all of a sudden, like, you just sit back, you know, you put your paper, your pencils away and you think, ""Alright, you know, like, they're not trying to attack you. What is it that I'm supposed to be doing?"" and you think of a multi-level solution and you finally get the answer and you know, it's kind of like playing chess or something, you know, you get into this point where you can kind of see things, you know, like five six seven steps down the road and if you don't think of it that way, then you won't solve that problem. So, when I do think of it that way, you know, when I do solve those complex problems, that's when I'm my most proud, that means it's like, you know, a sign of my intelligence or something.",What are you proud of?,What would you want to show off to others?,Are you proud of your work?,,,,,,,
Motivation,,What keeps you up at night?,"Things that keep me up at night are probably the same things that keep most Americans up and that's, you know, of course I fear for my life. No one wants to die. I think that even the most hardcore, you know, Marines, they don't want to go to war. Of course, they'd like our politicians to, you know, do things diplomatically. Everybody has family back home, everybody wants to, you know, see the next day. So, I'm not a coward, you know, when it becomes time to go fight, then I will but it's not like I want to fight. What I want to do is, I want everybody in the world to live together in peace and harmony but I know that that doesn't happen. So, what keeps me up at night, is thinking that any day now, any second, there could be a terrorist attack, you know, near my home. The people that I care about can be wounded, injured or the fact that I might have to go over there and you know, maybe put someone else in harm, you know, someone that I'm attacking or support someone who, you know,. attacks somebody. I don't want to see people dead or killed just like most people in the military I think but you know, even though it does keep me up at night, you know, I do have a good sleep and then the next morning, I wake up and I go to my job.",What worries you?,What are you concerned about?,What do you lose sleep over?,What problems consume you?,What thoughts prevent you from sleeping?,,,,,
"Impact, STEM",,Whom do you see as the main beneficiaries of the work you do in computer science?,"The main beneficiary of the work that I do, I'd probably say, are the youth of today. I sound like an old geezer but yeah, if you're 12, if you're 15, hopefully some of the things that I'm thinking about, they're probably not going be done, you know next year or you know, three years from now. I'm trying to do things that are to take like five years, you know things that are like, for instance things with virtual reality where I want you to live inside that world, things, you know, for movies and they don't come so easily, you know, it takes years and years of work. So, by the time it reaches its fruition, maybe the kids, you know, that are in middle school right now will probably be in university and the, really witnessing the Marvel that I created. I think those are the main beneficiaries.",Who does your work help?,Who benefits from your work?,Who uses what you create?,Who are you helping?,Who sees the results of your work?,,,,,
"Motivation, JobSpecific, STEM",,Why are you motivated and inspired to go to work as a programmer?,"I get motivated to go to work because it's fun, you know, that's the simple fact of it. When I was in school, you know, I had like math and science and physics and chemistry and nothing really like, pushed me to, you know, want to learn myself but computer science had something about it that is, there's a little bit of math but not too much to make me scared, there is a little bit of graphics to, you know, at least so I could see what it was that I was doing. You know, there was a little bit of like logic but not too difficult. Everything is in moderation and it's as hard as you make it. So, because there's so much that it's such a broad category, I found my little niche, you know, it happened to be virtual reality but like, I've experienced like, lots of things in computer science and they all had something that kind of drove me to want to learn more. So, no other subject has actually done that for me except for computer science. So, I think all of it's inspiring to try to, it's all inspiring because it's fun. That's the reason.",What motivates you as a programmer?,What inspires you as a developer?,How are you inspired to code every day?,How do you stay motivated to program at work everyday?,Why are you motivated to be a software engineer?,,,,,
Lifestyle,,How did you manage both career and personal life effectively?,"When it comes to balancing your career, for instance, like I'm a computer science major right now but before I was in the military but in both cases, you always have to make sure that you have enough time, later on in your life, so that you don't disregard your earlier work. Some people say, ""Okay, well, I'm going to have a job that's so so, or that I don't like for eight hours of the day and then I'm going to, you know, suck that money and then use it for later on in life. You know, I have a nice car and I have a nice house and then, you know, like, we go on vacation because of the sucky job that I had earlier and I don't think that that's a good balance. I think that you should really try to find a job that you would do for much much lower pay and that's the job that you can really do all day if you wanted to so you don't think of it as such a pain. It's not like you're, one hour before the time ends and you're like, ""All right, let me go home, let me go home."" If you're in that type of job, then I think you should start looking for another type of job and then if you do that, then balancing is really really easy. You can be either place, you can have, like, all day with family or you can be all day at work and both are okay with you. You know, it's not going to be like, in pain with either one of those. So, find a job that you love and make sure that your family life is cool too, your home life if you don't have a family is cool too and then there's no balance to be had.",How do you balance your home life and career?,How do you handle personal and work life simultaneously?,How would you suggest keeping an effective balance with work and life?,How do you balance work and play?,How do you balance work with everything else?,Is it difficult to manage work and live a healthy lifestyle?,,,,
"JobSpecific, Advice",,How strongly would you recommend this profession to others or to me personally?,"For me, STEM has been a really good profession to have. When I was younger, I was very humanities oriented. You could have talked to the seventeen year old me and said, ""You will be working on programming or you will be lifting a wrench and doing some electrician things, checking voltage"" and I would've said, ""You're crazy, that's not me."" But there was something in me, maybe because of my past, you know, I used to play chess or because I was good at math, that I thought it was interesting. I wasn't scared of it. So, I think that the people that are like that, the people that look at math problems and who aren't scared of math, I could just say and who aren't scared of science. The ones who maybe are challenged but want to learn more so that they can solve the problems. If you are that type of person, then STEM is a really good field to go into. If not, then, I got to say, I've met many people in STEM who, you could tell, aren't like that, are just, kind of go with the flow and don't really see the interest in math and interest in science. They're doing it just because it was offered to them and those are the ones who have the biggest problems, those are the ones who kind of, like, fade into another job or maybe even get kicked out because they're not good at the job. So, there has to be some kind of passion for, kind of, numbers, scientific thinking, methodologies, logic. If you're like that, then STEM is a good choice for you.",Would you recommend your profession to others?,Should I go into the same field?,Should I pursue the same career that you did?,Do you recommend your career to others?,Is your career worth recommending?,Should others pursue your career?,,,,
JobSpecific,Negative,"If you could change one thing about your job, what would it be?","Computer science has a lot of problems that I wish would change and the biggest part is computer science education. That's, you know, the field that I'm choosing to go into. It's really hard to learn where to start with computer science. It's such a broad field and someone that's interested in STEM comes to me and says, ""What should I do? Where should I start?"" and I say, ""Okay, well, pick up a programming book, learn C#, learn C++ or learn any programming language actually and even that, that should be enough to, like, start them on their journey but it's not. There's so many different avenues to try and many of them are, I have to admit, are badly worded. For instance, when I was starting to learn computer science programming, some of the books that I picked up were made by computer scientists. I don't think that those are the ones that should be writing the computer science books. I think the people that should be writing are the educators, are the ones who think visually, are the ones who think graphically, are the ones who think, ""Well, you know, I'm showing C#, so I need to put some bombs and some explosions and some, you know, some nicely worded subtext. You know, like, I have to be able to write to a ten-year old and that the ten-year old should understand it. Rather than that, I think the ones who are really good at computer science, they're really smart, they're, you know, egg heads, you could say and then they decide to be educators and sometimes they don't match up. So, I wish that there were better educational books out there for computer science.",What would you change about your job?,What do you wish was different about your job?,What changes would you make to your profession?,How would you modify your job if you could?,,,,,,
