Tags,Helpers,Question,Answer,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Background,,Do you have a family?,"Currently at the moment, I don't have any close people around me, I don't really have a family. Of course everybody has a mom and a dad but I, like so many other people in the military had a dysfunctional family when I was growing up. My mom and my dad split when I was young, and so I had to live with my mom's mom, my dad's mom, my mom, then my dad and then I did that again you know. So I lived with each of them like two years, two years, two years, two years, then did that one more time and then when I was eighteen I kind of just went my own way and I didn't really talk to them anywhere after that.",What's your family like?,Do you have family?,Do you have kids?,,,,,,,
"Advice, Military, Lifestyle",Navy,What advice do you have for spouses who don't understand the career demands of the Navy?,"If you have a spouse, a husband or wife, or even another boyfriend or girlfriend who you are very close to doesn't really understand the requirements of the navy, I would suggest that the military person present them with some of the support that the military provides. You have MWR, Morale Recreation and Welfare that can show the spouse or significant other, number one, ways that they can divert themselves. If your, let's say husband is out in the ocean you could find yourself very bored, you can find yourself wanting to be around them, to call them all the time. So MWR can show you how to like mingle with other military people, with other military spouses, with other people in the community to kinda like take your mind off  ofthem. They can also provide them with legal support if they're running into some problems while the the husband or wife is away. So as long as the military person shows the spouse all of the support, then they shouldn't, they can overcome their problems.",can families get used to or learn to love the Navy life?,do some spouses never learn to get along in the Navy?,is there a way to talk someone into liking the Navy way of life?,How do Navy people convince their spouses about the demands of the Navy?,How can you make spouses understand about life in the Navy?,Is there a way to handle spouses who don't understand the demands of the Navy?,How to handle spouses who can't understand the demands of the Navy?,,,
"Military, Culture",Navy,Did you like wearing the same uniform every day? Why or why not?,"Personally I love wearing this uniform in particular. The reason I love this uniform is because it doesn't need to be ironed. To tell you the truth you just throw it in the wash machine and then as soon as it comes out you just ""whosh"" and put it on a hanger and then it's ready to wear. Sometimes I iron it just to make sure there's absolutely no wrinkles, wrinkles, creases, wrinkles but I think that it's very warm. I like the way that it looks. And it's very easy to maintain.",how is wearing the same uniform everyday?,Do you like dressing the same way every day?,Do you hate your uniform?,What do you feel about wearing the same uniform daily?,Did you hate wearing the same uniform every day?,,,,,
"STEM, Jargon",,What is a regulator?,"So a regulator, it has different meanings depending on what type of job you're doing. So if you ask a mechanic what a regulator is, it's something that regulates some kind of flow. So for instance you could have water going in this direction and then you maybe turn a switch or apply some, some setting to a control mechanism that separates it into different, different paths. So let's say need a little bit of water and you have a lot of water over here then you regulate it so that only a little bit flows out. But let's say you need lots of water here, then you regulate it so that there's lots of water that comes out. So the same thing happens with an electrician, my job. We have voltage regulators so let's say you have a pump that needs twenty volts and you have a machine that can provide all of that, you just don't wanna pump all of the current from that machine into that little, little box, right. So you have a regulator that provides the right voltage so that that voltage will just allow the correct current to go through that machine. That's a voltage regulator.",do electrician work with regulators?,what do regulators do?,how does a regulator work?,Explain the working of a regulator.,Tell me what a regulator is.,,,,,
Education,Navy,Tell me about Naval Postgraduate School.,"The Naval Postgraduate School is basically the Navy's main school for officers who probably came from the Naval Academy or maybe ROTC, that are advanced in their career enough maybe after four years or six years, to go back to graduate school to get an advanced degre. So they allow Master's courses and things from security to operations management, basically lots of war things. I was thinking about going there myself to get a degree in modeling virtual environments and simulation, it's a computer science field but there are things like applied math, things that keep our Navy in tip top shape for the people that are really controlling things at that level.",is NPS Naval Postgraduate School?,who goes to Naval Postgraduate School?,what's it like at NPS?,What is the naval postgraduate school?,,,,,,
Education,Navy,Where is the Naval Postgraduate School,"The Naval Postgraduate School is in the beautiful city of Monterrey, California.",Where is the naval postgraduate school located?,is NPS in California?,is NPS close to San Francisco?,Where is the NPS?,Which city is the NPS in?,,,,,
"Advice, Skills",,What are the most important things on a resume?,"The most important things that you can put on a resume are, number one how you worked as a team concerning the job that is being applied for. So for instance if I was applying to be a mechanic on a submarine, then I'd have to look at my past and say okay well what things are associated with the submarine, right, and then that I did in my past life, and then how did I work as a team to make that project better. So maybe you were a car mechanic before and you're trying to apply for this mechanical job, then you're gonna talk about the other teammates on your car engineer team that you talk to, that you provided support to, that you supervised, and obviously the dates so that they can see that you have a big range of experience with that.",What should be included in a resume?,What are some of the things that must be on a resume?,What can I not afford to exclude from my resume?,How should my resume look like?,What is needed in a resume?,,,,,
"Skills, Resources, STEM",,Where can I find an internship that will give me skills for the engineering field?,"There are many opportunities for internships if you're going into the stem field. I know that I had an internship myself at the Department of Defense. I worked at the Naval training station in Orlando and it was my first internship, it dealt with computer science. I was working on making speech more understandable for a computer as you talk to it, so that was really good. So I think the Department of Defense, I think you just Google DOD internships and press enter and then there's, probably the whole first there's lots of different postings for you. So at every military installation, let's say in California at Corona, at San Diego, at SWRMC (South West Regional Maintenence Center), at even the San Diego Naval base. There's probably some opportunity for high school students and college graduates to get a little bit of taste of what the federal government and what the military can offer for military careers.",Where can I find relevant internships?,Where can I find apprenticeships in engineering?,Where do I look for internships?,Where do I find engineering internships?,Where can I look for internships in engineering?,,,,,
"Advice, Fit",,What do you advise me to do in picking the right career field for me?,"The best information that I could give you if you're trying to understand what you should do for your future career is to learn as much information about it as possible. So for me I joined the nuclear technician field and I didn't even know what they did. I thought we were going to be working on nuclear bombs and I think if I would have known a little bit more about it then I would've had better jump start for my career. So for instance if I knew about like, that the nuclear technology field dealt with the internals of making nuclear power with uranium, then I would study more about that, and my schooling would had a better, I would've understood my schooling a lot better. If I would have picked up a little bit of electrician knowledge beforehand, like for instance, I had no idea what the difference between voltage and current was until I was midway in my A school, my initial school learning. So it would be really nice if I would have understood some of those basic concepts before I started the school. My grades would have been higher, I would have gotten more awards, maybe I would've understood the material, the complex material that was being presented to me in a much, in a much better way if I would've had like fifty or sixty percent knowledge beforehand. So I wouldn't have missed out on all of those like. those minor advanced topics during class. So I guess my advice is learn about your job before you go into it.",tell me how to make the best job decision?,can you help me pick the right career field for me?,how can I be sure I am doing the right thing?,What advise can you give me that can help me in picking the right career field?,how do I pick the right career field?,,,,,
"Advice, Fit, Motivation",,How do I find what I love to do?,"Trying to find what you love to do, it has two brought answers for me. The first of which is you hear this very often, follow your passion. So personally my passion was music and art. I wasn't an engineer person per se, when I was a kid all the way up until a couple years after I joined the navy. That's right, I joined as an engineer and I wasn't an engineer until after I got to my first ship. I, to tell you the truth, I didn't even like it too much. I like talking languages, and you know conversing with people, and you know writing stuff, and typing on the computer. I did not want to see oil, I did not want to touch a wrench you know, that wasn't for me, but in the end, it brings me to my second point. Try to become really good at the skills that you possess. So for me, I think I'm a good electrician. I became a supervisor after some time, and it's not because I had a passion for electrician things, it's because I found that I was good at it, and that gave me motivation to learn more and more about it, and once I started doing that then it became easy for me. And after it becomes easy for you, then you can start explaining things really well, you can start reading a book and learning more about it really well, you start getting awards for it, you start you know wanting to know more about it. So yeah those two things: follow your passion and if that's not for you, then follow the skills that are provided to you.",How can I find what I am passionate about?,How to find what I love to do?,What are some indicators that I love something?,,,,,,,
"Advice, Fit, Motivation",,What should I do if I don't know what job I want to do?,"If you don't know what job you want to do, then my suggestion is that try to push yourself to try to do as hard a job as possible. You can always go down but in many cases it's very hard to go up. So for instance if you pick a simple job like let's say picking plants. I don't mean to discredit any plant pickers out there, but if your job is to pick plants, and then all of sudden you want to be a computer scientist, let's say, it might be hard to try to make that switch. You don't have the skills to do computer science, you don't have the background, you might not have the right way to think about the world. However, I think as a computer scientists, if I wanted to, I could be a very good plant picker, so you can always go down but it's hard to go up.",I don't know what job I want. How do I solve this?,can you help me if I don't know what to do?,I'm stuck in selecting my career path. Can you help?,What should I do if I don't know which job would suit me best?,,,,,,
"Resources, Advice, Mentor, Decisions",,Who are the best people to talk to when making a career choice?,"The best people to talk to if you're unsure about what you want to do is the people in the field if you can. So I know many people will ask their their dad ""Hey dad should I join the Navy?"" And I gotta say if your dad has never been in the Navy, then although his advice should be considered, he might not know what he's talking about. The best thing to do would be to ask someone who's been in the military, and the longer the time the better. So for instance, you don't want to ask your cousin Joe who just got back from boot camp what the military's like. He's probably not gonna give you a fully formed answer. You want to ask the senior chief who can give you from the outs and in, the deployments, to the ward, to the sitting at home, to the long days, to the long nights, to the easy vacations and the full spectrum. So get people with experience.",who should I talk to first?,what kind of people are helpful in assessing where I belong?,where should I go for career advice?,Who can advise me in making a career choice?,Who are the best people to consult when making a career choice?,,,,,
"Advice, Mentor, Lifestyle, Military",,Who first introduced you to the military lifestyle?,"The person that gave me the best advice about joining the military I'd have to say would be my father. He was in the army and although I never saw him while he was at work, well just barely, it was as a kid you know, I sit in the corner playing video games or something with my gameboy. But he did tell me you know, when he came home what his day was like. He'd say some of the things about the work they have to do, the PT that he had to do, the people he had to supervise. I also saw the type of life that we lived in. I know that like it was a very nice clean environment, he showed me his corvette outside and we took it for a spin a few times. We would always be going on vacations, and he'd tell me like these are the benefits that are associated with the military, any he'd develop my pride and my motivation to join later on you know. If he wouldn't have been in the army, maybe who's to say that I would have joined myself, but military families have a high rate of convincing other people around them to join.",How did you first find out about the military?,Who gave you the best advice about the military?,Did you get a glimpse of the military life before you enlisted?,Who gave you valuable advice that helped you?,,,,,,
"Advice, Background",,What is one piece of advice that you wished you had taken?,"So one thing that I regret when I was growing up is that, although I was a really good student when I was in elementary school, when I was in middle school, and even high school, then things started to kind of fall off and kind of whither away. I didn't have a strong relationship with my family so I kinda just did my own thing, I was very independent and unfortunately I wasn't really good at doing homework and stuff. So yeah, I got the first F in my life when I was a senior, first D's you know as a junior, and you know I mean, if I would have just kept being an awesome student throughout high school, then who is to say that my life wouldn''t have gone in a completely different direction. Maybe I could have wound up at an Ivy League school or something. Who knows? But because I didn't listen to my mom and dad tell me to do my homework and you know eat my vegetables, then I had, I was almost forced to join the military. I'm glad that I did join the military, it gave me an option to you know make something of myself, but I think I would have had a lot more opportunities if I would have listened to my parents.",what's the best thing anybody told you that you wish you'd listened to?,is there some piece of advice you wished you'd used?,did you ignore something you now know would have been useful?,What is one advice that you ignored?,Is there advice you ignored that would have helped you today?,,,,,
"Advice, Background",,What is one question you wish you had asked earlier?,"When I was a kid, I went to the library one day and I got this book, and it showed me all of the salaries that people make. I was a musician at that time, I never played any music or instrument, but like I knew that you know, like I was really involved in music and I wanted to. So then I saw how much musicians make and it's very very low, and okay well I'm artist at least you know like maybe about drawing, I get my art history from my mom and I looked at their salaries and it was very low. So then I set shut that book and then I kind of gave up on looking at salaries for awhile. A question that I would have, a question that I wish I would asked someone, is what are the different salaries that people can make and how can I become more involved in getting those high paying, those high paying jobs. And not only that, let's say I wanted to be an artist or a musician, how do I enter that field without being discouraged by their salaries. So how can I follow my passion without being disheartened by financial figures.",what did you wish had found out earlier?,What is one question you never asked?,What did you never ask but wish you had?,One question you wish you had asked before?,Is there something you wish you had asked earlier?,,,,,
"Advice, STEM, Decisions",,What is something you wish you had known before choosing your career or major?,"Something I wish I would have known before I chose nuclear technology, is how cool computer science could be. When I was a kid I was just thinking computer science what you know, they type all day and there's like ones and zeroes and it's terrible and you know lots of math, very complex for no reason. That's what I thought, but after I got out I realized woah wait a second, I can make games? And it's not that difficult, you know there are tools to help you so you aren't dealing with ones and zeroes, you can deal with like normal conversation when you code? Aw man. So I wish number one, I wish my dad would have bought me a computer when I was a kid, and that didn't happen. So number two, before I joined nuclear tech, as a nuclear technologist you know as an Electrician's Mate, and I wish someone would have told me about other computer science fields, because that's what I'm doing now that's my passion, you could say.",what should you have known before settling on a job?,was there something vital that you should have found out about your job before you began?,what was missing data in your job search?,Is there something about your career you wish you had known before making a career decision?,Is there something that would have affected your career decision but you never knew it then?,,,,,
"Challenges, JobSpecific",Navy,What is the most challenging part about your job?,"The most, the most challenging part of my job is probably being able to manage everything that's given to you without really fussing about it. Some things you agree with, some things you won't agree with, and you have to make sure that the part that you agree with, you know you say it very, very clearly to your people. The parts that you don't agree with, sometimes you have to actually tell your boss hey you know what it's better this way, and whatever answer you get is whether you know you can convince him or whether you have the materials that it takes to convince him, otherwise you have to be strong in whatever your convictions are and present it to your people. So it's very good to take all of your input, everything that everybody's trying to tell you, and make sure that you understand it correctly and that you can present it correctly. That's probably the most challenging part of my job.",what do you do that is difficult?,Is your job tough?,what's the worst thing about your job?,,,,,,,
"Challenges, Military",Navy,What is the biggest barrier to entry in this field?,"The biggest barrier to entry, to join the navy, and basically the military in general, is that you have to be able to follow directions. And even though that sounds like a very small task, it shows up everywhere in everything that you do, from from doing the simplest of tasks to writing your name to you know making a list of things to do in a complex procedure you know, and everything that's in between those two, those two distinct elements. So of course the people who are really bright, they get the more complex jobs you know, the Navy is really good about that, but no matter what your job is, you're going to find yourself faced with a complex situation, and it's very important to follow directions because people's lives are at stake. You can actually get someone killed with some of the things that you do. Even if you're a painter or a boat driver or an electrician, no matter what you do it's gonna affect somebody some way, and you're not really familiar with exactly how it's going to affect people. So you have to really do the job that people tell you to do because you can't see all the dangers that are associated with it.",what would keep me out of this line of work?,is there something that keep people from being able to do this?,what is the hardest thing to master before you can get in this field?,,,,,,,
"Motivation, Background, Military",Navy,How did you become interested in this type of work?,"I first became interested in joining the military back in the day when my father used to come back from his work in his uniform from the army, and he'd tell me about all of the things that he had experienced. I grew up in the fifth sixth and seventh grade and part of the eighth grade in Germany, and although I didn't really see the military part of it, I did see some of the things that like you could have outside of the work. So I saw the nice house that you could live in, I saw the cool car that he was driving, I saw many times you know people PTing, exercising outside, PT is physical training. So I kind of got the impression of like what the military lifestyle would be like compared to all the civilian lifestyles that I saw back where I'm from, and I gotta say it was really impressive.",What got you into this job?,how did you come to want to do this?,Did you always want to be in this career field?,How did you you become interested in the Navy?,,,,,,
"Motivation, Background, STEM",,How did you first become interested in computer science?,"I first became interested in computer science when I was in community college. I did eight years in the navy as an active duty Electrician's Mate and I learned a lot about engineering, and I thought I was going to go to college to do electrical engineering. However, some of the classes that you learn with electrical engineering are computer science, and I went to a research internship. It wasn't an internship it was just research for UC Berkeley, and I thought I was going to do electrical engineering, but they had so many cool computer science topics and professors and little things around campus that really empowered me to kind of consider computer science as a career. So when I went back home, when I was done with the research and I went back home, I really focused on my computer science classes and I just realized, hey you know out of all the classes that I am learning, math, science, english, the computer science classes were some of the most fun, and I just thought you know, if I want to make my own business, if I was doing electrical engineering I'd have to go to radio shack, I'd have to buy resistors, I'd have to spend lots of money, I'd have to like spend lots of time. But with computer science, you have your own business right in front of you if you just open up your laptop. You can have a million dollar idea just opening your laptop and typing on some keys. So that sold me.",what brought you into computer science?,did you always love programming computers?,do you remember your first introduction to computers?,how did you get introduced to computer science?,,,,,,
"Decisions, Background, Motivation",Navy,Why did you choose this career?,"For me particularly, I chose the Navy as a career because it seemed like a very easy and straight forward step to begin a career. So at the time I was just graduated from high school, I was working at McDonalds, and you know various odd jobs, Swap Meet, a movie theater, used to sell knives, used to sell home alarm systems, I was bouncing all over the place. And I kept coming back to the thinking you know what, the military is a good way to start. I knew about their money for education, I knew about, after you do your tour you could have a really good professional career outside of the military you know. So these things were in the back of my mind. Unfortunately, I tried to join in high school and my eyesight is really bad, so they had disqualified me from joining. So I spent two years outside of high school trying to you know make my way through community college, make my way through various odd jobs, and it just wasn't for me. So like the military was a good step to, I tried again and I was accepted. So that was really step to start me off on a good career.",tell me why you are in this field.,did you choose this profession or was it forced on you?,why are in your current job?,why did you take this career path?,,,,,,
"Decisions, Military",Navy,"If you could do it all over, would you choose this career again?","If I had to rejoin the Navy, and considering the different options that I could have, I think that being an electrician really opened up some doors for me. It actually like alllowed me to think about different things than I would have otherwise. I know about nuclear technology, I know about electricity things, voltage, current, resistors, and about power and watts. I know about lots of things that I had never even considered myself interested in before. So does that help me, in a sense, I think it does. It gives me a better perspective. Would I do it over again? So the thing that I'm lacking from doing my nuclear technology path, is I don't have a long history with computer science. So I think if I would have joined like for instance the IT field, the information technology field, then after eight years I'd be really really bright about computer science and networks and what's going on in the, on the interior of a computer. However, the problem would be that I wouldn't know the electrical portion of it. So I think I'm happy with my decision, but I would probably try to do something more computer science oriented if I had to do it again, knowing that I would do it in the future.",if you were starting over would you make the same choices about your career?,do you regret choosing this career path?,do you any regrets about choosing this profession?,,,,,,,
Background,,"When you were a kid, what did you want to be when you grew up?","When I was a kid, I think I was more interested in like the humanities side of life. So I tried to do a little bit of piano when I was a kid. Me and my brother would go to piano lessons and I you know was a part of a black gospel choir. So I would always look at the guys that are sitting there you know dabbling on the piano really fast, and I thought you know what I can make songs like that. I had, I listened to rock and pop you know, Prince, Michael Jackson. So I thought, you know I'm listening to these songs and it gives me this feeling in my heart, so maybe I'm a musician. As it turned out, my brother didn't want to go to piano lessons anymore, so my grandmother didn't want to just take me by myself you know. So she cancelled our lessons and that was the end of that musical career. My mother was an artist, so I would always be like sketching on pads and stuff I would be drawing like animated characters X-Men and Spiderman and I was getting up there in my ability, but it also failed out. So yeah when I was young I actually wanted to do like you know like the non engineering, non STEM things, but life has a way of like throwing you in a different direction.",did you dream of doing a job like this?,did you have dreams of being something else?,do you remember what you used to think you wanted to do as an adult?,,,,,,,
Background,,What sports did you play in high school?,"So even though I wasn't really a jock in high school, I actually had a lot of interesting activities. So I ran track and field and I was varsity material, unfortunately I sprained my ankle during my junior year so that ended my college aspirations. But I also ran cross country you know, cross country first you know running three miles at our meets and then track and field in the spring, where you run fast. I also tried my hand at other things like I guess wrestling for a day or two, basketball I tried and I didn't get accepted but also I was involved in things like SADD, Students Against Drunk Driving, Amnesty International, and a cornucopia of other things.",were you an athlete in high school?,were you ever on sports teams before coming in the Navy?,what sports did you like to play?,are you athletic?,,,,,,
Miscellaneous,,What is your favorite color?,My favorite color has to be black. It just looks good on everything.,do you have a favorite color?,do you have any color preferences?,"other than Navy blue, what colors do you like?",,,,,,,
"Background, Lifestyle",,Are you married?,"Right now, I'm pretty single here in Japan, and still looking.",have you got a spouse?,are you single?,how many times have you been married?,are you in love?,,,,,,
Background,,Do you have siblings?,"As far as siblings go, I have an older brother and an older sister. My brother is one year older than me, and he joined the army before I did my Navy thing. And I have a sister who is ten years older than me, and she lives in Michigan with her family.",do you have any brothers or sisters?,how many kids in your family growing up?,are you an only child?,,,,,,,
Background,,Do you have any pets?,"My whole life I wanted a dog. But you know everywhere I go I cannot have a pet. Especially here in Japan you know you're not allowed to have pets in these really small apartments. But as soon as I can, as soon as I have my you know straightforward job, I'm gonna get you know a nice, what is it a Spitz, or maybe a collie if they're around. Or maybe, what do you call those things, I don't know the word but they're really pushy and nice and you know playful. Akita. Akita dog.",did you ever own an animal?,were you responsible for a pet?,did your parents allow you to have a pet?,have you had a pet?,,,,,,
Background,,What is your favorite food?,"I have two favorite foods. When I am in the United States, my favorite food is ice cream. Haagen Dazs all the way. But when I'm in Japan, it switches over to ramen, because they make delicious ramen here. It doesn't even compare in the US.",what do you like to eat?,what is your ideal meal?,do you have a favorite dish ?,what is you preferred cuisine?,,,,,,
Background,,What is your least favorite food?,"My least favorite food has to be any type of seafood, which really sucks because I'm in Japan and it's all over the place, so it feels like I'm missing out. Yeah no sea food, I like cod but no shrimp, lobster, nothing with eyeballs looking at me when I'm looking at it. I'm not too hot on vegetables either, but you know you got to, as long as there's some meat, I can put meat in my mouth and the veggies and then we're fine. But no sea food at all.",is there anything you hate to eat?,what food makes you gag?,what food do you hate?,,,,,,,
"Military, Lifestyle",Navy,What is the food like in the military?,"The food in the military it's, I have to say it's outstanding. Maybe not many people would agree with that because it's kind of plain and bland. So you have your cafeteria style you know, style food. You go there, I want some meat, I want some potatoes, I want some broccoli, you know. And they provide a good selection for you. They don't really season it so much because so many people come through you know, it's not like it's Applebee's or anything. They allow you season it yourself, so as long as you kind of realize that you know, then they give you big portions for little cost, or no cost if you're active duty, and technically it is healthy you know. In fact I think that they recently took salt away from the table so like you have to try to be healthy when you eat your food, and it delivers.",how is Navy chow?,are the mess halls good places to eat?,can you eat well in the military?,is there healthy food in the Navy?,,,,,,
"Combat, Military",Navy,Do you shoot guns?,"When I first joined the military I thought, okay, I'm going to be exercising all day and I'm gonna be shooting guns all night but fortunately, neither of those really came to pass. You do have some time to exercise but as far as shooting guns, it's not really something that's really popular here. Especially when you're out on deployment, which is six months in the middle of the ocean. Some people, the military police, the MPs, they have guns but it's not like they're practicing all the time you know, like it's, they practice back at shore. And when you're on shore, I basically do my job as an Electrician's Mate, it's not like I can practice. But there are opportunities to practice, there are shooting ranges that people go to, and I won my ribbons, in fact.",how often do you get to shoot guns?,do you fire rifles in the Navy?,does everyone use guns?,,,,,,,
"Recognition, Military, Jargon",Navy,Can you explain the ribbon system?,"The military has a really good system for acknowledging the accomplishments that people do. So if you go out in the middle of the ocean, and you come back in, that's a tour. Then you get a little ribbon right here. You can't see on this uniform but on other uniforms you wear, your dress blues, your dress whites, other like nice uniforms that you wear, you can have like little emblems. They go three by three by three and you can get them for various things. If you shoot a gun really well, then you can get an expert ribbon. If you do something really really productive for the ship that you're on, then you can get like the Navy achievement medal let's say. Or if you go to a specific place in the middle, in the world, and you fight a certain war, then you can get another ribbon. So as you, the longer that you're in, you start acquiring these ribbons any you can kind of see who's been, number one in the longest time, and number two, who's had the most success in their job by the amount of ribbons that they have. You can really see lots of admirals with like really big huge stacks of ribbons.",what do the decorations on your uniform mean?,what is the difference in ribbons and medals?,what do you use the ribbons for?,how do you get ribbons?,what do ribbons mean?,,,,,
"Recognition, Military, Jargon",Navy,What are the ribbons/awards that you've gotten?,"Some of the ribbons that I've received include the pistol ribbon and the rifle ribbon, both experts. I received the sea service deployment ribbon, which means that I went on a ship. Some people in the Navy don't do that, so the ones who do, they get that. I've also received a expeditionary ribbon for my ship because we did a really good job out there when we were doing training, and I was a big part of that. I've won a few other ones, in total I've won about thirteen more.",which medals did you earn?,what recognition have you gotten?,what did you do to earn your decorations?,have you gotten any awards for your service?,what are your military acheivements?,,,,,
"Military, Culture, Background",,Do you have any tattoos?,"Getting tattoos is a really common thing in the military. I personally don't have any but you can see everything from a little heart on the shoulder to you know a big you know flag on the back of people. So, you know it was just never for me",do you like to have tattoos?,did you ever get tattooed ?,are tattoos common in the Navy?,what tattoos do you have?,show me your tattoos.,,,,,
"Military, Miscellaneous",Navy,Do you get to swim in the ocean?,"We definitely don't get to swim in the middle of the ocean. So, I actually did get to swim in the ocean but that's not very common. One day it was like really hot, we had been out to sea for a month, two months, people were getting antsy. So we had a swim call. So what happened was our aircraft carrier was, it came to a full stop, we had navy seals in boats around the water with guns to shoot sharks, and we could jump from the elevator, the aircraft elevator, which is really far far up. It's about like a five or six second drop, once you drop over the edge. It's kinda like a diving board. So you jump over the edge, you go down in this beautiful bath water, and keep going then it gets really cold, then you come back up and it's warm again, and then you're supposed to swim to the back of the ship. So it's about another maybe, minute more to go to the back, and then you have to get out. So it's not like you can like hang out there you know swim, throw a frisbee around, like play volleyball or anything. It's like you jump across, go down in the water, and then you come out, and you swim to the back. You can do that many times you know, but I did it once just to see. I think I actually did it twice. It was kinda fun, I can barely swim so that's good enough for me.",is swimming ever allowed on ships?,can you swim off of your ship or submarine?,how often do you swim in the Navy?,what is it like to swim in the ocean?,do I have to swim in the ocean?,,,,,
"Military, Fit, Skills",Navy,Do you have to be a good swimmer to join the Navy?,"You don't have to be the best swimmer to join the military. That's a common question, it's like what, you're in the military and you can't swim? It's like yeah, so I learned to swim while I was in the navy, but when I first started I could barely doggy paddle. So the requirements for boot camp are you have to jump into some water and you can't hold on to anything, you have to be afloat for two minutes, and then you come back up. So if you don't know how to do that then there are some, there's a little bit of practice that you can do, and so basically everybody passes. If you definitely can't pass, then they have like specific training for you, but most of the time that's not a problem to pass, to just do two minutes.",can only good swimmers join the Navy?,do any non-swimmers get into the Navy?,do you have to practice swimming in the Navy?,what is the ability requirement for swimming?,will I get into the Navy if I can't swim?,,,,,
"Military, Jargon",Navy,What is deployment?,"Deployment is what it's called when a Navy vessel goes to an extended deployment to fight a war or do some training. So my ship, the USS John C. Stennis, we actually went from our home port in San Diego and we went to the Middle East and swam in the ocean there. We didn't swim we rode on the boat right, but around the Arabian gulf, around the surrounding islands, maybe around Singapore. And just in that general area while the war was going on and we stayed there for six months, and then we come back home to San Diego. So once you're home to your home for then you do go out on the ship sometimes, but you don't go out for that long, and you don't go out that far. But deployment is, that's when your family comes, you know you say goodbye to your significant other, you know you tap your kids on the shoulder and say you know be good to your dad or your mom, you pack your bags up and then it's a big farewell ceremony you know and then everybody there waits for you to come back six or seven or eight months later.",what is it like being at sea?,do you have a good definition of deployment?,is a deployment always sea duty?,what does deployment mean?,What is considered deployment?,What does it mean to deploy?,,,,
"STEM, Misconceptions",,What's something that most people don't know about computer science?,"Something that a lot of people don't really realize about computer science is just how easy it is. Yes it can be very difficult. You sometimes have to figure out algorithms you have to figure out the best way to put the light that comes on the screen based on the moving of the characters, and you have to like, you have to understand that the computer is like calculating thousands of things per second you know, actually millions of things per second. So you have to like tweak and optimize the things that are, that you tell the computer to do to make it. So all that's very very difficult. However, some of computer science is really really easy I know that some people who had never done computers at all, can you know study for a week or two, and then put things on the computer like web design or something. So then based on what they learn over the next like a few weeks they can actually make a career out of that, and that's computer science as well. So it ranges from very easy to very hard, and lot of people think aw, computer science is so difficult. Eh, it's as difficult as you can make it. It's as difficult as how hard you're willing to try.",what things about your job are unknown to most people?,what suprises people about computer science?,what is the major point of ignorance concerning computer science?,what don't people know about CS?,,,,,,
"Mentor, Advice",,Who gave you the best advice about your career?,"The person who gave me the best advice about my career would probably be the people that are really close to me when I was going through each of the jobs that I was going to be. So for instance it would probably be the people beside me when I was going to school. That would be like maybe the teachers or the instructors. Once I got to my first ship it would probably be the chiefs and the senior chiefs who kind of gave me at least some kind of motivation to be like them. They didn't really teach me, well I didn't get the advice from the things that they showed me, but it's more like the way to be a chief, the way to be in the military you know. That part is like more valuable for me wanting to stay in the military and keep in the military rather than like this is how you charge an electrical device or something like that so. After I got out of the military, I actually was looking more towards the people not even in the military. So I'm in USC's, University of Southern California's Institute for Creative Technologies, and I've gotten a lot of really good advice for my military career from people who aren't even in the military themselves. Just because they have, they understand what it takes to be in the military and where the future of the military lies. And kind of without that advice, I guess I wouldn't think about the military in a civilian type of way. So I'm really thankful to all three of them, the instructors, the chiefs and senior chiefs, and the civilians who had an influence on my life and my military career.","who was your ""go to guy"" regarding your career?",who was you best career counselor?,what person helped you the most to get where you are today?,,,,,,,
"Advice, Skills",,How can I work smarter?,"The way that you can be the best at your job, the way that you can work smarter is open up the books. I have to say you know, I wasn't really a STEM engineering type myself you know. I think everybody had an upper hand on me when I first joined, but the difference between me and a lot of other guys and girls while we were going through, the reason that I can really rise through the ranks is because I was opening the books all the time. There's these things called watches that you stand, where you kinda sit in a chair and you like watch gauges and make sure that you know nothing's like exploding. But that's kinda like free time you know, so you can't like read comic books, you can't watch a movie there, so with that spare time they actually tell you, open up the books you know. Open up and keep your training going yourself. So that's what I used to do, that's what I did, and it's, I found out that month after month you know, year after year, my knowledge was steadily improving, and I think it has a lot to do with the fact that I was reading a lot during my watches.",is there a more effective way for me to approach this?,how can I improve my activities?,am I pursuing this the wrong way?,how can I become more efficient?,is there a better way to do this?,,,,,
"Advice, Management, Military",Navy,What would you advice a person in this field to do in order to create good relationships with bosses?,"If you wanted to get in good with your bosses or your chiefs or your senior chiefs, or if you're an officer, the superior officers, number one it would be good to have a good personality. Now everybody hates the fact that you know jobs like the military, pretty much any job is political. But that is, nobody likes to work around people that they don't like. If you're an introvert, it would be good for your career if you can kinda like express yourself a little bit you know, kind of be friends with the person that's working beside you. You know you might watch a lot of military movies and see guns, see people fighting and shooting, and you know like eventually you can see that they become a band of brothers you know even if they're girls but band of brothers right, that's the saying. And if you can try to you know live up to that movie stereotype, then that would work very well with your superiors because the key word, the only word that really matters for the military is teamwork, and the more that you can show that you're a team, the more that you can like relate to your peers, then that would look really good with your superiors.",how do people learn to get along with their bosses?,is there away to avoid trouble with your bosses in this field?,how can I create good relations with senior personnel?,how do I make good relationships with management?,,,,,,
